,Losses,Training Accuracy,Validation Accuracy
0,0.6713253632361178,12.812499999999998,10.0
1,0.6042666336209515,17.34375,19.375
2,0.553964475246185,25.0,23.125
3,0.5152551024664925,25.0,23.125
4,0.4833254871111069,24.6875,24.375
5,0.453760510058604,25.156250000000004,25.0
6,0.42808365130233383,28.90625,28.749999999999996
7,0.4062404481865389,40.625,35.625
8,0.3914287223597448,45.46875,41.875
9,0.37994339560497936,48.90625,45.0
10,0.37111255182458136,49.6875,44.375
11,0.364717416127457,49.6875,43.75
12,0.3602951268529807,50.78125,43.75
13,0.3558190467187285,49.6875,42.5
14,0.35257810964201575,50.31250000000001,42.5
15,0.3496189346461535,50.31250000000001,43.75
16,0.3472066124931471,49.53125,42.5
17,0.3445466615168503,51.5625,44.375
18,0.3426858539396038,50.625,43.125
19,0.3402653396183958,51.5625,44.375
20,0.33819460332642287,52.34375,44.375
21,0.33642344380577954,52.03124999999999,44.375
22,0.33485424844771805,52.1875,45.0
23,0.3330599261867372,54.21875000000001,46.875
24,0.33108282493535895,52.96875,46.25
25,0.32947079707655985,55.15624999999999,48.125
26,0.32808785942556656,56.40625,48.75
27,0.3261630707813713,56.71874999999999,48.75
28,0.3247459373683169,58.28124999999999,49.375
29,0.32377784588985403,60.15625,50.625
30,0.3215757102387212,59.53125,55.00000000000001
31,0.31983671040669737,62.5,56.25
32,0.31826405166648875,61.71875,55.625
33,0.31672511252267593,62.96874999999999,57.49999999999999
34,0.3150393694310677,62.96874999999999,57.49999999999999
35,0.31348358794443393,63.59375000000001,57.49999999999999
36,0.31212804763440316,62.65625,56.875
37,0.31067609110470584,64.375,58.12500000000001
38,0.3090445521125801,63.90625,58.12500000000001
39,0.30751292850953316,64.6875,58.75
40,0.3062319935534634,64.6875,60.0
41,0.30483150264426484,64.84375,60.62499999999999
42,0.30353994817917196,64.53125,59.375
43,0.30244353754138464,64.375,59.375
44,0.30119089653270875,65.3125,60.62499999999999
45,0.3000931010929757,65.3125,60.0
46,0.29931528352175113,65.9375,60.62499999999999
47,0.298035628931085,64.84375,59.375
48,0.2971869340956625,65.9375,60.0
49,0.2962209396516335,66.25,60.62499999999999
50,0.2958062344768413,67.34375,60.62499999999999
51,0.29474161453782916,64.53125,59.375
52,0.29367840121555344,67.03125,60.62499999999999
53,0.2939230150616839,67.34375,60.62499999999999
54,0.2928532460368789,65.3125,58.75
55,0.29226177651953417,68.90625,63.74999999999999
56,0.2914837385112948,65.78125,59.375
57,0.2913252717985303,67.65625,60.62499999999999
58,0.29050911863505063,67.96875,61.875
59,0.2897703019777328,67.34375,60.0
60,0.2896555094584423,67.5,60.0
61,0.28919026270169346,67.8125,60.0
62,0.2887598465294605,67.65625,62.5
63,0.2886073515434758,67.1875,59.375
64,0.28814602696917646,69.21875,65.625
65,0.28747461331112356,66.40625,60.0
66,0.28724441451177074,68.28125,63.74999999999999
67,0.2870526124558429,68.125,61.875
68,0.28687659446153857,69.375,65.625
69,0.2863777932165828,67.34375,61.875
70,0.2859308233866834,67.8125,61.875
71,0.28567729669214154,68.75,63.74999999999999
72,0.28548691136407045,68.59375,65.0
73,0.2852302048888448,67.8125,63.125
74,0.2849662674648613,68.125,63.74999999999999
75,0.284642563125219,68.75,65.0
76,0.28473179022463346,67.5,61.875
77,0.28445116890132993,70.3125,66.25
78,0.284306974364885,67.96875,61.875
79,0.28397202122588805,69.21875,65.0
80,0.2836872287102843,67.8125,63.125
81,0.28333747046877705,68.75,65.0
82,0.2832155971041021,68.90625,64.375
83,0.2829441304675696,67.65625,63.125
84,0.28280074025006463,69.6875,65.625
85,0.2826523383518357,69.21875,65.0
86,0.2823409994325619,68.4375,63.125
87,0.28216133298133145,69.84375,65.625
88,0.2820676786726217,67.65625,62.5
89,0.28210468313128406,70.78125,68.125
90,0.2818774993526958,68.125,63.125
91,0.2811212951686423,69.21875,64.375
92,0.2810921753966687,67.96875,63.74999999999999
93,0.28094490027450514,69.375,65.0
94,0.280669654424064,68.59375,63.125
95,0.28027679924012333,69.21875,64.375
96,0.2799904820839767,69.375,64.375
97,0.27989269009613615,67.96875,63.74999999999999
98,0.2797158908537435,69.0625,65.0
99,0.2794345050366796,68.90625,63.74999999999999
100,0.27909001315605003,68.59375,63.125
101,0.2789011458680225,68.90625,63.74999999999999
102,0.2787107121342048,69.375,64.375
103,0.2785304102940768,68.75,63.125
104,0.27815592042812404,69.53125,65.625
105,0.27790397928672833,67.96875,63.125
106,0.2775005658004423,68.90625,64.375
107,0.277330062329748,69.21875,66.25
108,0.2773085453342462,68.125,63.125
109,0.27678924100703967,69.375,66.25
110,0.2765387904449943,68.90625,65.625
111,0.2763213610206529,69.0625,65.0
112,0.27609497915560544,68.75,64.375
113,0.27581105780920023,69.6875,66.875
114,0.2755975767690447,68.90625,66.25
115,0.2753111531096234,68.75,66.25
116,0.27507481960093205,68.4375,65.0
117,0.27476769177761695,69.375,66.25
118,0.2748104060888704,69.21875,66.875
119,0.2742102554570257,68.4375,65.625
120,0.27410341905853264,69.0625,65.625
121,0.27386776591447026,69.0625,66.25
122,0.2735955567076164,68.75,66.25
123,0.2733223883304037,68.4375,65.625
124,0.2729253546181466,68.59375,65.625
125,0.27279365608390604,68.59375,65.625
126,0.2726525241658996,69.53125,67.5
127,0.27214517596311405,68.59375,65.625
128,0.2719835797283449,68.59375,66.25
129,0.27176024048259617,68.90625,66.875
130,0.2716028503915965,67.34375,65.625
131,0.27139662057335284,68.28125,65.625
132,0.27097886093594276,68.75,66.875
133,0.270692582027925,68.90625,66.875
134,0.27054568826986747,68.90625,66.25
135,0.27035020211005484,69.21875,68.125
136,0.26995368903296557,69.375,68.125
137,0.2698878773075388,68.90625,66.875
138,0.26948337362898905,69.53125,68.125
139,0.2692335178300914,69.6875,69.375
140,0.26911865321037254,70.0,68.75
141,0.26915046438047024,67.8125,67.5
142,0.2683137380830141,69.6875,68.75
143,0.26849395302800383,69.6875,69.375
144,0.26801532188687366,69.6875,68.125
145,0.26778947951625454,69.84375,68.75
146,0.2675309124849619,70.0,69.375
147,0.2675066586701638,69.21875,68.125
148,0.267105644400041,70.3125,69.375
