,Losses,Training Accuracy,Validation Accuracy
0,0.9230464933669422,13.28125,6.875000000000001
1,0.7851514828935516,20.9375,18.125
2,0.7449414187377961,17.96875,15.625
3,0.714151419963813,24.53125,20.0
4,0.6844070629309689,25.156250000000004,19.375
5,0.6596261766998343,24.0625,17.5
6,0.6399996256778533,24.375,18.125
7,0.6224908032655679,25.46875,18.125
8,0.6056209868172426,28.125,20.625
9,0.5903666715578648,27.968749999999996,21.25
10,0.5748749480568704,27.500000000000004,20.0
11,0.561051565477791,27.03125,20.625
12,0.5487426839294492,27.03125,21.25
13,0.5370441383879497,27.34375,22.5
14,0.5254909599805708,30.0,23.75
15,0.5137282167441782,31.874999999999996,26.875
16,0.503558713937604,34.21875,30.0
17,0.49328874435622627,37.03125,34.375
18,0.48410551900758253,38.90625,36.875
19,0.47605787112047276,40.625,37.5
20,0.46875503183694966,41.875,38.125
21,0.4619648134600525,42.5,38.125
22,0.45618549583928436,44.21875,38.75
23,0.4507045664936711,43.125,38.75
24,0.44594769792468636,43.75,38.125
25,0.4413482032123265,45.15625,39.375
26,0.43739643611518286,46.09375,40.625
27,0.4335574241116319,47.96875,43.125
28,0.4299647372812229,49.0625,44.375
29,0.4276430251085649,49.21875,46.875
30,0.4240417840849308,49.53125,46.875
31,0.4214220029671319,52.65625000000001,48.125
32,0.41887016134995336,53.75,50.0
33,0.41621574124272553,54.84375,50.625
34,0.41400543435580417,54.21875000000001,50.625
35,0.4117112582694521,55.15624999999999,49.375
36,0.4098343792395552,57.65625,51.87500000000001
37,0.40742125031582643,57.1875,51.87500000000001
38,0.40535384079426307,58.28124999999999,53.125
39,0.4035395823348482,58.75,53.125
40,0.4015001192710937,60.78125,55.00000000000001
41,0.3998763029700029,60.9375,55.625
42,0.3980830005873814,62.81250000000001,56.875
43,0.3964241676267733,61.71875,56.875
44,0.3946609390340619,62.96874999999999,59.375
45,0.3930814390854389,61.875,56.875
46,0.39174420093839485,65.15625,60.62499999999999
47,0.3900021829780049,63.4375,59.375
48,0.3885652378703184,65.9375,59.375
49,0.38733002542093337,65.9375,60.62499999999999
50,0.3860932233960218,67.34375,64.375
51,0.3849156635156197,66.71875,62.5
52,0.3841387408209591,67.8125,65.625
53,0.382477264248855,67.65625,66.25
54,0.3816379301449394,67.5,69.375
55,0.38056480972461026,68.90625,68.75
56,0.3794264978163861,69.84375,69.375
57,0.3786852061461501,69.53125,70.0
58,0.3780805046872705,70.0,70.0
59,0.3769657369800554,72.03125,70.625
60,0.3762273738744147,69.375,70.0
61,0.3754720207503135,72.34375,71.875
62,0.37460681078569735,70.78125,70.625
63,0.3745528242376403,71.71875,70.625
64,0.373194141674783,73.4375,72.5
65,0.372563029333667,72.03125,72.5
66,0.37183678962076033,74.21875,72.5
67,0.37159301529510713,73.90625,73.125
68,0.3707598233554184,74.6875,74.375
69,0.3699515426474937,73.125,73.75
70,0.3695151416941235,74.53125,73.75
71,0.36895681347342185,74.53125,73.75
72,0.36838697778650065,74.53125,73.75
73,0.3675457695529695,74.21875,74.375
74,0.3673200577846564,74.0625,74.375
75,0.3672175489577963,75.0,74.375
76,0.3663450414363522,74.53125,75.0
77,0.3658707591665517,75.15625,75.0
78,0.3653671632244871,75.0,75.0
79,0.36510232086558786,75.625,75.0
80,0.3646983983270049,75.3125,75.0
81,0.36425281029993867,75.3125,75.0
82,0.3639674586726267,75.3125,75.0
83,0.36369295434224536,76.09375,75.625
84,0.3633772415115647,75.0,75.0
85,0.36303905506928996,75.9375,76.875
86,0.36265362629301934,76.5625,76.25
87,0.36258529443120946,75.46875,75.625
88,0.36176927618183696,76.875,76.875
89,0.36171903651148796,75.9375,76.25
90,0.3612552156963592,76.25,76.875
91,0.36125161904603326,76.25,76.25
92,0.36070052687940934,76.40625,75.625
93,0.36050842283773854,76.09375,76.875
94,0.3601379394493726,76.71875,76.875
95,0.3598918960984165,77.03125,75.625
96,0.35970467437416137,76.25,75.625
97,0.3595333415710968,76.71875,75.0
98,0.3592090519927716,77.1875,76.25
99,0.3589588542036831,77.1875,76.25
100,0.35872454726968256,77.34375,76.875
101,0.3585742085121889,77.1875,76.25
102,0.3585669509864996,76.875,75.625
103,0.35807874866119566,76.875,76.25
104,0.35804274735180114,77.5,76.25
105,0.35764324468367553,77.03125,76.25
106,0.35769220479347685,77.96875,76.875
107,0.3577294674521472,77.1875,77.5
108,0.3573105478888253,76.5625,76.25
109,0.3572878731676588,77.34375,76.25
110,0.3573607853430062,76.5625,74.375
111,0.3569405546551922,77.1875,76.875
112,0.3566493108624959,76.875,75.0
113,0.35668445450581066,76.875,75.0
114,0.3560476312516529,77.8125,75.0
115,0.3563858068759854,76.875,76.25
116,0.3560001231542847,76.25,74.375
117,0.3557997543084755,77.8125,75.625
118,0.35578357371467134,76.875,76.25
119,0.35549325672484217,76.875,74.375
120,0.35581707428166237,78.28125,76.25
121,0.3553204170329741,77.5,75.625
122,0.355352572966612,77.96875,74.375
123,0.3553510995218795,76.71875,75.0
124,0.3551658740453176,78.90625,75.625
125,0.35480726827302955,77.34375,75.625
126,0.354979425745061,77.03125,74.375
127,0.3544764583268668,78.59375,76.25
128,0.3544976363170763,77.96875,75.625
129,0.3544330024004718,77.96875,74.375
130,0.3543259757414149,78.28125,75.625
131,0.3541291520161509,78.4375,75.625
132,0.3540962287879449,77.8125,75.0
133,0.3543230257660945,78.28125,75.625
134,0.3537075934100088,79.21875,75.0
135,0.35389467743398895,78.59375,75.625
136,0.3534867925726237,78.90625,76.25
137,0.3535342496526358,79.6875,76.875
138,0.35341046730248804,80.15625,75.625
139,0.3532658670748668,78.75,75.625
140,0.35314567858374,78.4375,75.0
141,0.35287292606744086,80.0,76.25
142,0.352873377205235,77.65625,75.0
143,0.3525981194085601,79.21875,76.875
144,0.35244962747673136,79.21875,76.25
145,0.35262357664166316,78.90625,75.0
146,0.35243383593864835,79.84375,76.875
147,0.3523088132196717,80.46875,76.875
148,0.35197414651151165,80.0,76.25
149,0.3519405636270421,80.3125,76.25
150,0.351789341592633,79.21875,76.25
151,0.3514849689894656,79.6875,76.875
152,0.3514901314067391,80.625,76.25
153,0.35134450561131836,80.46875,76.875
154,0.35113165440649297,79.375,77.5
155,0.3509373980336885,81.09375,78.75
156,0.3508066630287436,80.0,77.5
157,0.350821774777761,80.3125,78.75
158,0.3504054787519685,82.96875,79.375
159,0.350183960779583,79.6875,77.5
160,0.3500318565173131,81.09375,78.125
161,0.35002391908377933,83.125,80.625
162,0.3495591935087542,80.15625,78.75
163,0.34944423146269343,80.46875,78.75
164,0.3492495744785004,82.1875,79.375
165,0.3488922828445101,80.9375,78.75
166,0.3486658284386566,82.1875,78.125
167,0.3484965788448098,82.65625,79.375
168,0.3483570166444164,81.875,78.75
169,0.34831197347300014,81.875,78.75
170,0.34783539525423746,81.71875,82.5
171,0.3480831452135869,82.5,78.75
172,0.34758254023296475,82.03125,79.375
173,0.34728741288130127,82.1875,82.5
174,0.34692359621460694,81.875,80.0
175,0.34657277302064526,82.8125,82.5
176,0.3463439300502011,82.96875,83.125
177,0.34620888103202857,82.96875,82.5
178,0.34578906867238457,82.96875,82.5
179,0.3457362407529595,82.5,82.5
180,0.3453383300661933,83.28125,81.875
181,0.3452431121890407,82.8125,82.5
182,0.34475344209878933,83.75,83.75
183,0.3448399887251633,83.125,83.75
184,0.344509130832773,83.90625,83.75
185,0.3441109855762279,83.4375,83.75
186,0.3439111011278259,84.0625,83.125
187,0.34414805224481276,84.21875,84.375
188,0.3436232560545073,84.0625,83.125
189,0.34347447742748993,84.6875,84.375
190,0.3431317052495197,85.625,85.0
191,0.3427013060124159,84.53125,83.125
192,0.3428459679421978,84.84375,84.375
193,0.34236509990856073,84.6875,83.125
194,0.341959393668569,84.84375,84.375
195,0.34198837062565557,85.0,84.375
196,0.34147081996492085,84.6875,83.125
197,0.3414581457885142,85.46875,86.25
198,0.3411194703474288,85.625,85.625
199,0.34107755135345963,85.625,84.375
