,Theta,Phi,Accuracy
0,0.0,0.0,78.75
1,0.0,0.025,78.3975
2,0.0,0.05,77.525
3,0.0,0.07500000000000001,76.09
4,0.0,0.1,74.4375
5,0.0,0.125,71.46
6,0.0,0.15000000000000002,68.41
7,0.0,0.17500000000000002,64.995
8,0.0,0.2,60.2725
9,0.0,0.225,56.42
10,0.0,0.25,52.5825
11,0.0,0.275,49.05
12,0.0,0.30000000000000004,43.56
13,0.0,0.325,39.9025
14,0.0,0.35000000000000003,38.93
15,0.0,0.375,35.79
16,0.0,0.4,32.5225
17,0.0,0.42500000000000004,29.385
18,0.0,0.45,26.53
19,0.0,0.47500000000000003,25.1375
20,0.0,0.5,23.77
21,0.0,0.525,21.45
22,0.0,0.55,19.975
23,0.0,0.5750000000000001,18.8625
24,0.0,0.6000000000000001,18.8225
25,0.0,0.625,15.68
26,0.0,0.65,15.4025
27,0.0,0.675,15.2775
28,0.0,0.7000000000000001,14.8425
29,0.0,0.7250000000000001,13.3875
30,0.0,0.75,13.6725
31,0.0,0.775,14.0875
32,0.0,0.8,14.3975
33,0.0,0.8250000000000001,14.1375
34,0.0,0.8500000000000001,11.2475
35,0.0,0.875,11.945
36,0.0,0.9,12.035
37,0.0,0.925,12.2
38,0.0,0.9500000000000001,12.385
39,0.0,0.9750000000000001,11.495
40,0.0,1.0,10.9875
41,0.025,0.0,78.3725
42,0.025,0.025,78.0575
43,0.025,0.05,77.205
44,0.025,0.07500000000000001,76.0175
45,0.025,0.1,73.645
46,0.025,0.125,71.4
47,0.025,0.15000000000000002,68.0175
48,0.025,0.17500000000000002,63.5275
49,0.025,0.2,60.535
50,0.025,0.225,55.1475
51,0.025,0.25,51.0975
52,0.025,0.275,48.6875
53,0.025,0.30000000000000004,44.7675
54,0.025,0.325,41.3975
55,0.025,0.35000000000000003,37.41
56,0.025,0.375,33.8375
57,0.025,0.4,30.9125
58,0.025,0.42500000000000004,29.7625
59,0.025,0.45,25.6
60,0.025,0.47500000000000003,25.8175
61,0.025,0.5,22.9375
62,0.025,0.525,21.62
63,0.025,0.55,20.0375
64,0.025,0.5750000000000001,19.0675
65,0.025,0.6000000000000001,17.57
66,0.025,0.625,17.185
67,0.025,0.65,17.05
68,0.025,0.675,14.7675
69,0.025,0.7000000000000001,14.015
70,0.025,0.7250000000000001,14.885
71,0.025,0.75,14.015
72,0.025,0.775,12.925
73,0.025,0.8,13.2525
74,0.025,0.8250000000000001,12.3575
75,0.025,0.8500000000000001,12.5575
76,0.025,0.875,11.5875
77,0.025,0.9,11.3925
78,0.025,0.925,11.4225
79,0.025,0.9500000000000001,11.9275
80,0.025,0.9750000000000001,11.76
81,0.025,1.0,12.4475
82,0.05,0.0,77.5225
83,0.05,0.025,77.2875
84,0.05,0.05,76.615
85,0.05,0.07500000000000001,75.37
86,0.05,0.1,72.7475
87,0.05,0.125,70.785
88,0.05,0.15000000000000002,67.67
89,0.05,0.17500000000000002,62.5425
90,0.05,0.2,60.3225
91,0.05,0.225,56.4
92,0.05,0.25,51.9025
93,0.05,0.275,48.4425
94,0.05,0.30000000000000004,42.53
95,0.05,0.325,39.855
96,0.05,0.35000000000000003,36.535
97,0.05,0.375,33.4725
98,0.05,0.4,30.6625
99,0.05,0.42500000000000004,27.5
100,0.05,0.45,26.1325
101,0.05,0.47500000000000003,25.285
102,0.05,0.5,23.6375
103,0.05,0.525,21.385
104,0.05,0.55,18.4325
105,0.05,0.5750000000000001,18.6775
106,0.05,0.6000000000000001,16.6125
107,0.05,0.625,17.695
108,0.05,0.65,18.0125
109,0.05,0.675,14.6775
110,0.05,0.7000000000000001,14.665
111,0.05,0.7250000000000001,13.92
112,0.05,0.75,14.245
113,0.05,0.775,13.3075
114,0.05,0.8,11.945
115,0.05,0.8250000000000001,13.0775
116,0.05,0.8500000000000001,12.3575
117,0.05,0.875,11.7825
118,0.05,0.9,12.2675
119,0.05,0.925,12.2525
120,0.05,0.9500000000000001,11.68
121,0.05,0.9750000000000001,12.515
122,0.05,1.0,11.3075
123,0.07500000000000001,0.0,76.4225
124,0.07500000000000001,0.025,75.9075
125,0.07500000000000001,0.05,75.1425
126,0.07500000000000001,0.07500000000000001,73.8175
127,0.07500000000000001,0.1,71.59
