-0.0161+0.1713j, -0.2756-0.0935j, 0.2449-0.4301j, 0.4338+0.2802j, 0.0161-0.1349j, 0.2123+0.3165j, 0.3258-0.0617j, 0.0250+0.0885j, 0.1531+0.1842j, -0.0947-0.1601j, 
0.0551+0.2537j, 0.0451-0.1790j, 0.3924-0.4274j, -0.3116-0.3172j, -0.4596-0.1070j, -0.0943-0.1760j, 0.1437-0.0535j, -0.0203-0.0582j, -0.1837-0.1155j, 0.1237+0.1089j, 
-0.2978-0.5136j, -0.3079-0.2642j, -0.1121-0.2168j, -0.2707+0.1993j, 0.0187-0.3665j, 0.0452-0.2062j, -0.0165+0.0338j, 0.0904-0.0502j, 0.1825-0.2025j, -0.1647+0.1326j, 
0.2254-0.2868j, 0.3066+0.1583j, -0.3210+0.0018j, 0.0387-0.0204j, -0.2862-0.5196j, -0.1641+0.3033j, 0.3188+0.1416j, -0.0559+0.0165j, -0.1345+0.1065j, 0.1153-0.0654j, 
0.5248-0.1351j, 0.0807+0.0653j, 0.2365+0.1355j, 0.1834+0.5233j, -0.3139+0.0581j, 0.1519-0.2414j, -0.0816+0.0280j, 0.0588-0.0561j, 0.0105-0.2706j, -0.0400+0.2037j, 
0.0739-0.0915j, -0.0618+0.0566j, 0.2195+0.0800j, 0.0549+0.0206j, 0.0364-0.1979j, -0.4923+0.2025j, -0.2404-0.7084j, -0.0681-0.1333j, 0.0922-0.0091j, -0.0795+0.0161j, 
-0.3142-0.0587j, 0.5925+0.4719j, 0.1288-0.3307j, -0.1634+0.2312j, 0.0841+0.1243j, 0.0114-0.0864j, 0.0897-0.0959j, 0.0604-0.0117j, 0.2111+0.0036j, -0.1481-0.0153j, 
0.0139-0.0503j, -0.0259+0.0447j, 0.0181+0.0108j, -0.0922-0.0243j, 0.1480+0.0957j, 0.0842+0.2519j, 0.1864-0.1098j, 0.0247+0.0984j, -0.0629-0.7815j, 0.2272-0.4002j, 
-0.0370-0.0601j, 0.0155+0.0544j, 0.0205+0.0006j, -0.1023+0.0895j, 0.2459-0.1019j, 0.3733+0.0367j, 0.0788-0.3257j, -0.1803+0.2297j, -0.1819+0.1070j, 0.5286+0.4897j, 
-0.0046-0.0011j, 0.0077+0.0018j, -0.0048-0.0046j, -0.0065+0.0451j, 0.0278-0.0682j, 0.2124-0.1505j, 0.0024-0.0033j, -0.7344-0.5531j, 0.0733+0.0272j, 0.0732-0.2604j, 

0.3339-0.2812j, 0.1492+0.3763j, 0.0013-0.1953j, 0.0169+0.2214j, -0.1060+0.6062j, 0.1631+0.1429j, -0.1090-0.2108j, -0.0543-0.2212j, -0.0839+0.1298j, -0.0174+0.0044j, 
0.2006+0.0556j, -0.2151+0.1221j, 0.4943+0.4628j, 0.0982-0.1290j, 0.0628+0.1515j, 0.1034-0.3958j, -0.1561+0.0379j, -0.3709-0.0142j, 0.0519-0.1488j, 0.1630+0.0371j, 
0.1492-0.5234j, 0.0361-0.0172j, -0.2216+0.0315j, -0.0021+0.1885j, -0.2753-0.2921j, -0.2107+0.0424j, 0.0211+0.0779j, -0.2905-0.0986j, 0.1354-0.4544j, 0.2410+0.1605j, 
-0.1349-0.3510j, 0.1906-0.3620j, 0.5917+0.2089j, -0.0698+0.1690j, -0.0932-0.0765j, -0.0371+0.1729j, 0.0200-0.1117j, 0.2436-0.2335j, 0.1370+0.1858j, -0.1699+0.0966j, 
-0.1029-0.1990j, -0.1809+0.1353j, 0.0249-0.0114j, -0.1478+0.1155j, 0.3028+0.0590j, 0.3362-0.2508j, 0.5375-0.0497j, 0.3867-0.0786j, -0.0701-0.3599j, 0.0755+0.0675j, 
-0.3266-0.2344j, -0.4865+0.5351j, -0.0519+0.1848j, -0.0405-0.0004j, 0.1663-0.0834j, -0.2288+0.2205j, -0.1500+0.0533j, 0.0508-0.0451j, 0.2047+0.2107j, -0.1426+0.0687j, 
0.2420+0.1982j, -0.0913-0.1168j, 0.1077+0.0911j, 0.1890+0.1448j, 0.5171+0.0014j, -0.1947+0.5944j, 0.0603-0.1282j, -0.0351-0.0558j, -0.1388-0.2037j, 0.2445-0.0006j, 
-0.1311+0.0334j, -0.0042-0.0959j, -0.0274+0.0290j, -0.8597+0.0442j, 0.1156+0.0142j, 0.1380+0.1020j, -0.2043-0.1359j, -0.2285-0.0100j, -0.0467+0.0163j, 0.2430-0.1130j, 
-0.0228+0.0002j, 0.0257-0.0036j, -0.0167+0.0057j, 0.0467-0.1267j, -0.0179+0.0853j, -0.0928-0.0139j, -0.1134+0.1324j, 0.2044-0.3719j, 0.2994-0.2172j, 0.1004-0.7787j, 
0.0025-0.0035j, -0.0041+0.0057j, 0.0021-0.0009j, 0.0315+0.0397j, -0.0144-0.0129j, -0.0154+0.0394j, 0.6591-0.1918j, -0.4456+0.0822j, 0.3475+0.3630j, 0.0663-0.2487j, 

