,Theta,Phi,Accuracy
0,0.0,0.0,99.625
1,0.0,0.025,99.485
2,0.0,0.05,98.85
3,0.0,0.07500000000000001,97.615
4,0.0,0.1,94.955
5,0.0,0.125,93.73
6,0.0,0.15000000000000002,85.545
7,0.0,0.17500000000000002,84.825
8,0.0,0.2,73.2875
9,0.0,0.225,69.4875
10,0.0,0.25,67.495
11,0.0,0.275,60.91
12,0.0,0.30000000000000004,54.915
13,0.0,0.325,48.15
14,0.0,0.35000000000000003,48.26
15,0.0,0.375,47.64
16,0.0,0.4,43.2125
17,0.0,0.42500000000000004,38.105
18,0.0,0.45,34.18
19,0.0,0.47500000000000003,35.6575
20,0.0,0.5,33.7
21,0.0,0.525,27.8275
22,0.0,0.55,27.45
23,0.0,0.5750000000000001,27.875
24,0.0,0.6000000000000001,25.1625
25,0.0,0.625,24.545
26,0.0,0.65,21.035
27,0.0,0.675,18.81
28,0.0,0.7000000000000001,18.675
29,0.0,0.7250000000000001,19.7975
30,0.0,0.75,18.275
31,0.0,0.775,18.235
32,0.0,0.8,17.495
33,0.0,0.8250000000000001,18.0175
34,0.0,0.8500000000000001,17.095
35,0.0,0.875,15.0325
36,0.0,0.9,15.135
37,0.0,0.925,12.135
38,0.0,0.9500000000000001,13.6975
39,0.0,0.9750000000000001,12.7875
40,0.0,1.0,14.1425
41,0.025,0.0,99.5225
42,0.025,0.025,99.28
43,0.025,0.05,98.845
44,0.025,0.07500000000000001,97.335
45,0.025,0.1,94.625
46,0.025,0.125,89.5325
47,0.025,0.15000000000000002,86.6825
48,0.025,0.17500000000000002,81.9775
49,0.025,0.2,76.8825
50,0.025,0.225,74.9325
51,0.025,0.25,66.8275
52,0.025,0.275,62.195
53,0.025,0.30000000000000004,56.515
54,0.025,0.325,53.075
55,0.025,0.35000000000000003,46.7525
56,0.025,0.375,47.205
57,0.025,0.4,41.78
58,0.025,0.42500000000000004,42.0575
59,0.025,0.45,36.2
60,0.025,0.47500000000000003,28.625
61,0.025,0.5,33.39
62,0.025,0.525,28.735
63,0.025,0.55,28.6575
64,0.025,0.5750000000000001,25.65
65,0.025,0.6000000000000001,22.41
66,0.025,0.625,24.97
67,0.025,0.65,22.4
68,0.025,0.675,21.035
69,0.025,0.7000000000000001,17.835
70,0.025,0.7250000000000001,17.3475
71,0.025,0.75,18.8425
72,0.025,0.775,18.675
73,0.025,0.8,14.465
74,0.025,0.8250000000000001,16.855
75,0.025,0.8500000000000001,15.505
76,0.025,0.875,13.74
77,0.025,0.9,14.5875
78,0.025,0.925,14.7325
79,0.025,0.9500000000000001,14.1375
80,0.025,0.9750000000000001,14.1225
81,0.025,1.0,14.3375
82,0.05,0.0,99.48
83,0.05,0.025,99.2775
84,0.05,0.05,98.505
85,0.05,0.07500000000000001,97.3575
86,0.05,0.1,94.955
87,0.05,0.125,93.0375
88,0.05,0.15000000000000002,88.135
89,0.05,0.17500000000000002,78.1
90,0.05,0.2,76.5125
91,0.05,0.225,70.41
92,0.05,0.25,66.85
93,0.05,0.275,60.58
94,0.05,0.30000000000000004,53.0675
95,0.05,0.325,50.1725
96,0.05,0.35000000000000003,52.0725
97,0.05,0.375,42.7725
98,0.05,0.4,41.1325
99,0.05,0.42500000000000004,41.995
100,0.05,0.45,34.0075
101,0.05,0.47500000000000003,31.6325
102,0.05,0.5,33.47
103,0.05,0.525,30.6225
104,0.05,0.55,25.655
105,0.05,0.5750000000000001,25.65
106,0.05,0.6000000000000001,24.3
107,0.05,0.625,20.55
108,0.05,0.65,22.4225
109,0.05,0.675,22.4375
110,0.05,0.7000000000000001,19.715
111,0.05,0.7250000000000001,19.15
112,0.05,0.75,17.49
113,0.05,0.775,17.245
114,0.05,0.8,15.145
115,0.05,0.8250000000000001,16.3375
116,0.05,0.8500000000000001,16.7825
117,0.05,0.875,15.0275
118,0.05,0.9,14.4825
119,0.05,0.925,14.6825
120,0.05,0.9500000000000001,14.115
121,0.05,0.9750000000000001,14.39
122,0.05,1.0,13.98
123,0.07500000000000001,0.0,99.195
124,0.07500000000000001,0.025,98.94
125,0.07500000000000001,0.05,98.255
126,0.07500000000000001,0.07500000000000001,97.0325
127,0.07500000000000001,0.1,94.2325
128,0.07500000000000001,0.125,90.6325
129,0.07500000000000001,0.15000000000000002,86.1325
130,0.07500000000000001,0.17500000000000002,79.6825
131,0.07500000000000001,0.2,74.975
132,0.07500000000000001,0.225,66.6275
133,0.07500000000000001,0.25,63.2825
134,0.07500000000000001,0.275,59.815
135,0.07500000000000001,0.30000000000000004,53.9325
136,0.07500000000000001,0.325,54.35
137,0.07500000000000001,0.35000000000000003,46.3175
138,0.07500000000000001,0.375,44.69
139,0.07500000000000001,0.4,42.01
140,0.07500000000000001,0.42500000000000004,38.6
141,0.07500000000000001,0.45,34.69
142,0.07500000000000001,0.47500000000000003,32.345
143,0.07500000000000001,0.5,31.23
144,0.07500000000000001,0.525,28.185
145,0.07500000000000001,0.55,28.275
146,0.07500000000000001,0.5750000000000001,25.4975
147,0.07500000000000001,0.6000000000000001,24.595
148,0.07500000000000001,0.625,22.5825
149,0.07500000000000001,0.65,22.8075
150,0.07500000000000001,0.675,19.5875
151,0.07500000000000001,0.7000000000000001,19.3575
152,0.07500000000000001,0.7250000000000001,18.6125
153,0.07500000000000001,0.75,16.03
154,0.07500000000000001,0.775,17.3875
155,0.07500000000000001,0.8,17.21
156,0.07500000000000001,0.8250000000000001,16.225
157,0.07500000000000001,0.8500000000000001,14.935
158,0.07500000000000001,0.875,12.635
159,0.07500000000000001,0.9,13.16
160,0.07500000000000001,0.925,13.5525
161,0.07500000000000001,0.9500000000000001,13.0725
