,Losses,Training Accuracy,Validation Accuracy
0,0.6871801163189045,16.09375,15.875
1,0.6207922899588194,17.09375,17.25
2,0.5953922592466487,20.78125,21.0
3,0.5815169856098948,29.9375,30.875000000000004
4,0.5679058228433288,31.53125,33.0
5,0.5578356606934622,34.5625,35.625
6,0.5492618674553196,34.875,36.125
7,0.5413815631056087,35.4375,36.625
8,0.533493665841148,36.6875,39.625
9,0.5252244587548189,37.03125,39.0
10,0.5162791863581657,38.65625,41.25
11,0.50696605727174,42.03125,45.0
12,0.4963581922896958,48.375,51.0
13,0.48456143801131174,55.46875,56.00000000000001
14,0.4713179496771277,63.15625,62.875
15,0.45658236483965053,66.84375,67.5
16,0.44171325144410534,71.5,71.875
17,0.42784758794418254,77.59375,76.625
18,0.4151127149801507,81.8125,80.125
19,0.4049511668513032,84.03125,82.75
20,0.39657217796681715,86.09375,85.0
21,0.3901063939186761,86.5,85.25
22,0.3847801774152891,88.0625,86.625
23,0.3805881419037428,88.65625,86.5
24,0.37692839902886005,89.09375,86.625
25,0.37392998232289626,89.875,87.375
26,0.3710878776188364,90.0,87.0
27,0.36863608017037514,90.125,87.125
28,0.3663693050749203,90.78125,87.625
29,0.36421010654374286,91.03125,88.5
30,0.3621673084914799,91.0,88.375
31,0.36033901957338216,91.0625,88.5
32,0.3585379004308219,91.125,89.0
33,0.356848789519304,91.09375,88.375
34,0.355147624154989,91.40625,89.0
35,0.3536745037952738,91.4375,88.75
36,0.3521338405486202,91.1875,88.375
37,0.3507021270947584,91.53125,88.75
38,0.34938239888046513,91.3125,88.875
39,0.3479537727375269,91.3125,89.0
40,0.34679487509877127,91.5625,89.125
41,0.34560896856008183,91.4375,89.0
42,0.34438355536158766,91.375,89.0
43,0.34328337566023864,91.46875,89.25
44,0.34225770782252485,91.53125,89.25
45,0.34123469165335557,91.25,88.875
46,0.34027011750693953,91.6875,89.75
47,0.33916356306704537,91.59375,89.125
48,0.33817807648126086,91.46875,89.25
49,0.3373212715252933,91.625,89.25
50,0.3364574301951074,91.71875,89.875
51,0.3354252054454962,91.4375,88.875
52,0.33458398441158854,91.9375,90.125
53,0.3337301912677998,91.4375,89.125
54,0.3328766827808587,91.9375,90.125
55,0.3319668856317087,91.25,89.125
56,0.33126393348611116,91.875,90.0
57,0.3304689498493916,91.53125,89.5
58,0.32957388255894843,91.65625,89.5
59,0.3291351289204558,91.6875,89.875
60,0.3280496709055726,91.5,89.375
61,0.3275161790124082,91.875,90.125
62,0.32669850095616226,91.59375,89.5
63,0.32603443465578735,91.8125,89.75
64,0.3253951454946138,91.96875,90.125
65,0.3247051447480726,92.0,90.25
66,0.32412717600861407,92.03125,90.125
67,0.3235593154234017,92.0,89.875
68,0.32304334614776276,92.03125,90.0
69,0.3225132480400813,92.1875,89.875
70,0.32174267435435183,92.0,89.75
71,0.3210440387936636,92.21875,90.0
72,0.32047381326630886,92.15625,89.875
73,0.3198829773315349,92.84375,91.0
74,0.3193209353744125,92.34375,89.875
75,0.31861961291627483,92.84375,90.75
76,0.317928451608963,92.84375,90.875
77,0.31725714091020313,93.25,91.0
78,0.31673117037391246,93.0,91.0
79,0.31600757437339955,93.03125,91.0
80,0.3151655600046859,92.78125,90.375
81,0.31463765537226623,93.03125,90.625
82,0.3139512675768154,93.1875,91.0
83,0.3133738244304442,93.15625,90.875
84,0.3124618449306758,93.53125,91.375
