,Losses,Training Accuracy,Validation Accuracy
0,0.5566532959583668,5.46875,5.375
1,0.49423609202695934,20.90625,20.5
2,0.459863092760736,25.656250000000004,24.875
3,0.44162999999976443,28.281250000000004,27.375
4,0.4276408393855798,31.28125,30.25
5,0.41496462886291396,33.9375,33.125
6,0.4038641047239267,39.96875,40.5
7,0.3945145589069863,47.625,46.125
8,0.387235665189798,50.81250000000001,50.74999999999999
9,0.3808407894114043,53.59374999999999,53.0
10,0.37521105443913155,54.37499999999999,53.625
11,0.36993421021780853,56.96875,56.00000000000001
12,0.36528587076088975,57.90625,57.125
13,0.36087223108067606,58.71875,58.375
14,0.35685302057672463,59.68750000000001,59.875
15,0.35307885044347564,60.9375,62.5
16,0.349527101714324,61.5,62.375
17,0.34621362771814007,62.125,63.5
18,0.34300470746093625,62.875,63.74999999999999
19,0.340098272599926,64.09375,65.0
20,0.3372405301965556,64.34375,65.625
21,0.33450927478926057,65.125,66.875
22,0.33196191350292276,67.6875,68.875
23,0.32940135979775176,68.0,69.0
24,0.32699769047947014,69.78125,70.375
25,0.32465066753727817,71.84375,70.625
26,0.3222990859671909,73.5,73.125
27,0.32015701667049895,75.59375,74.875
28,0.3177517282745306,78.46875,76.5
29,0.315585190220551,80.5625,77.75
30,0.3132135335765315,80.5625,78.875
31,0.3110309759795664,82.34375,80.75
32,0.30856337296459446,83.75,82.75
33,0.3061817165866406,84.3125,82.625
34,0.30378656938691573,84.96875,82.5
35,0.3015049089216373,85.875,83.375
36,0.29922815429307126,85.28125,83.875
37,0.2965701093278814,85.0625,84.0
38,0.29447162030484614,85.53125,83.125
39,0.29216815073881075,85.25,82.75
40,0.29009331270024435,85.09375,82.875
41,0.2881423928146604,84.4375,82.75
42,0.2863453837652009,84.0,83.25
43,0.2845881516919812,83.53125,81.0
44,0.2829375051216935,83.375,81.375
45,0.28156153476896056,83.90625,81.25
46,0.28011284104777173,82.6875,80.5
47,0.2787532201223535,82.8125,80.125
48,0.27750352031718156,83.5,80.125
49,0.27633378186465174,82.6875,79.75
50,0.275200195361572,83.25,80.125
51,0.2740561454769809,82.9375,80.125
52,0.2730646267624755,83.28125,80.375
53,0.2720231908961725,82.4375,79.875
54,0.27108043155460393,83.15625,80.375
55,0.27004218033635047,83.90625,80.5
56,0.2691077938025561,83.28125,80.25
57,0.2682217680721565,84.34375,81.75
58,0.26730701409319424,83.9375,81.625
59,0.26635365509020326,83.875,81.625
60,0.26578182159145297,85.0625,81.875
61,0.2648189279869161,84.59375,81.75
62,0.26368785834723085,84.90625,81.75
63,0.26290677875983826,85.46875,82.375
64,0.26201451828154715,85.6875,82.5
65,0.2612355998143447,85.4375,82.75
66,0.2604708936481095,86.3125,83.375
67,0.2596098969280002,86.84375,84.0
68,0.2588961277009688,85.65625,83.375
69,0.2581399104107282,86.9375,85.125
70,0.25747487206693626,86.59375,84.375
71,0.2568531201923417,86.3125,84.0
72,0.2560374404737695,87.34375,85.375
73,0.25539664584752564,86.4375,84.75
74,0.2547092700340514,86.90625,85.125
75,0.25420481057190164,89.0,87.125
76,0.2536089017437539,86.625,84.75
77,0.2529383696776748,88.84375,87.375
78,0.25237614368578143,87.125,85.0
79,0.25178960621227636,87.40625,85.5
80,0.25119558985837015,89.0,86.75
81,0.25075175763379176,88.875,86.25
82,0.25019688292798725,89.03125,86.625
83,0.2497047575380985,87.78125,85.625
84,0.249217652948667,89.21875,86.75
85,0.24882902062584278,90.25,88.5
86,0.24802243778915262,88.375,85.625
87,0.24768082523019502,90.75,89.375
88,0.24717676854830017,90.40625,88.25
89,0.24659527116932656,89.25,87.0
90,0.24607081795667668,90.09375,88.625
91,0.24562714566693747,90.1875,88.875
92,0.2450750610665795,90.84375,89.5
93,0.24458346832519662,89.5625,87.625
94,0.24396825949155357,90.40625,89.0
95,0.24348297451767167,90.09375,88.75
96,0.24302141646607847,91.28125,90.75
97,0.24235227974158413,89.59375,87.5
98,0.24198333536741137,90.625,89.125
99,0.24134784080568408,89.25,87.0
100,0.2406584248636856,91.75,90.875
101,0.24003654586765846,90.21875,88.5
102,0.23941145823813273,91.0,89.875
103,0.2386867982674986,90.25,88.75
104,0.2381285979507451,90.4375,88.875
105,0.23735423088634483,89.65625,87.5
106,0.23661586900047213,90.3125,88.75
107,0.23582745048979972,90.46875,89.125
108,0.2352172533711264,90.125,88.0
109,0.2344125222381832,90.40625,89.0
110,0.23351127430538443,89.1875,87.0
111,0.23272595890661815,90.71875,89.125
112,0.2319038758514472,90.09375,88.25
113,0.23104721660769476,89.03125,87.0
114,0.2302453413639543,90.375,88.5
115,0.229310772285327,89.15625,87.125
116,0.2284261612014554,89.84375,87.75
117,0.2276136808014603,90.6875,89.0
118,0.22681561863687486,88.53125,86.5
119,0.22592300527326942,91.4375,90.75
120,0.22492189020496128,88.84375,86.5
121,0.22415515442087477,89.90625,87.875
122,0.22317582911158607,89.5,87.5
123,0.22232525351782265,89.78125,87.625
124,0.2215450274369041,89.46875,87.5
125,0.2207550305426517,89.09375,87.25
126,0.22009561192459157,90.53125,88.625
127,0.21944581962296017,88.34375,86.875
128,0.21858610318995336,90.9375,89.875
129,0.21806134067389635,89.0625,87.75
130,0.21740029771297575,89.53125,87.875
131,0.2166812999021609,91.0625,89.75
132,0.21619904286794547,90.375,88.75
133,0.21581587837348465,88.9375,87.25
134,0.21524748779537048,92.75,92.125
135,0.21489245425762718,90.03125,88.625
