,Losses,Training Accuracy,Validation Accuracy
0,0.8121952263269161,17.3125,16.25
1,0.7080320335256391,11.71875,10.75
2,0.6817010592947264,13.8125,12.25
3,0.6491635768048694,19.75,17.375
4,0.616173452934308,26.937499999999996,24.5
5,0.5905790460617386,37.46875,35.625
6,0.5710675384792971,38.96875,36.5
7,0.55682471959192,42.625,42.375
8,0.5441647919736758,45.53125,46.0
9,0.5353299127225289,47.25,47.75
10,0.5287046054236024,47.59375,48.625
11,0.523707875897331,48.03125,48.375
12,0.5195789080471631,48.40625,49.0
13,0.516002742535426,49.0625,50.375
14,0.5126558199810045,49.96875,51.0
15,0.5094228556822169,50.40625,51.24999999999999
16,0.5065506729129887,51.46875,51.87500000000001
17,0.5038570300081392,52.03124999999999,53.0
18,0.5013165430804415,52.87500000000001,53.625
19,0.4990369091249769,53.28125,54.0
20,0.4968717981053012,54.50000000000001,54.75
21,0.49484035594705544,54.6875,54.625
22,0.4928316117936373,55.125,54.87499999999999
23,0.490814809170384,55.59375,56.625
24,0.48904468556909675,56.40625,56.99999999999999
25,0.48709826510665166,56.56250000000001,56.875
26,0.48531503715186014,57.03125,57.875
27,0.48317491504672283,57.06250000000001,57.375
28,0.48089910561262905,57.56250000000001,58.75
29,0.47838379555337296,58.09375,59.75
30,0.47542793969409936,58.21875,59.875
31,0.4720938939767635,58.56249999999999,60.25
32,0.4683771213882367,58.96875,60.375
33,0.4640260635128905,59.09375,60.5
34,0.4596597720564117,59.21875,60.75000000000001
35,0.4549211099668504,59.4375,61.0
36,0.45059059133583984,59.71875,61.12499999999999
37,0.44635483978686735,59.9375,61.5
38,0.44246582536706364,60.5625,61.875
39,0.4389525781707207,61.65625,62.875
40,0.4357760346419836,62.875,63.87500000000001
41,0.4330442540547606,64.03125,65.0
42,0.430433111843934,64.71875,65.75
43,0.42822643201639043,65.46875,66.375
44,0.4258451390177399,66.125,66.5
45,0.42379287253097,66.71875,66.875
46,0.42181501274811445,67.0,67.125
47,0.41999526289073386,67.375,67.75
48,0.4183952932589986,68.03125,67.75
49,0.41691896402613843,68.28125,68.0
50,0.4155446425319649,68.5625,68.25
51,0.41413631095027176,68.71875,68.875
52,0.412959039665138,68.875,68.875
53,0.4118097545941211,69.1875,69.375
54,0.41077067786004734,69.125,69.375
55,0.4097156718973825,69.34375,69.5
56,0.40867433571274253,69.59375,69.875
57,0.40768076402871584,69.8125,70.25
58,0.4066174830089269,69.90625,70.25
59,0.4056766520521823,70.25,70.625
60,0.40466315055322755,70.5,70.75
61,0.40377778323200597,70.6875,71.25
62,0.4028235201632581,70.90625,71.5
63,0.4017839174612192,71.0625,71.375
64,0.4008303853931009,71.84375,72.0
65,0.39971240505843864,71.6875,71.625
66,0.39870555170841754,72.3125,72.375
67,0.3977744189471618,72.53125,72.5
68,0.3967243537943861,72.90625,73.0
69,0.3958398017788403,73.34375,73.0
70,0.39482752376415037,74.09375,74.125
71,0.39395049919455444,74.46875,74.25
72,0.39301071641784513,74.90625,74.75
73,0.3921560835970997,76.21875,76.125
74,0.3912887657094646,76.875,76.875
75,0.39043117248623593,77.3125,77.25
76,0.3895403374425486,78.1875,78.125
77,0.3887934886858318,78.875,78.875
78,0.3880835547964348,78.875,78.625
79,0.38733118788089044,80.625,81.5
80,0.3866670043320309,79.4375,79.25
81,0.3859503304921201,82.5,83.25
82,0.3849490203247637,80.875,81.125
83,0.3841630915591341,82.84375,83.875
84,0.383292680395577,82.59375,82.875
85,0.3824722755878229,82.96875,83.375
86,0.38154785100242505,84.0,84.75
87,0.38085223482217906,83.84375,84.375
88,0.3799409959476571,85.28125,86.0
89,0.3789421558605396,85.5,85.75
90,0.3778424164402029,86.0,86.5
91,0.3768413710626259,86.3125,86.25
92,0.3757986071404257,86.625,86.875
93,0.3745330079839924,86.84375,87.25
94,0.37352627285575485,86.90625,87.25
95,0.37245798441046063,86.875,87.625
96,0.3712555123792986,86.96875,87.625
97,0.37025430209533566,86.9375,87.75
98,0.3691343896892383,87.21875,87.875
99,0.3679977781171619,87.3125,87.75
100,0.3669467683226875,87.3125,87.625
101,0.3658524716260397,87.375,87.75
102,0.36478092205268836,87.59375,87.875
103,0.36366314529567473,87.625,87.75
104,0.36258175912435076,87.4375,88.0
105,0.3617287643111271,87.71875,88.25
106,0.3606870639037762,88.15625,88.875
107,0.3596867375676249,88.40625,89.125
108,0.3586856122425363,88.78125,89.75
109,0.3578647081819418,89.5625,90.5
110,0.356917066915104,89.6875,89.875
111,0.3561863250601787,90.875,91.5
112,0.3553221340797392,91.6875,92.25
113,0.35450722780569593,91.46875,92.5
114,0.353751272236122,92.34375,93.0
115,0.3532640301775976,92.84375,94.0
116,0.35259509262662453,92.9375,93.5
117,0.3520345592785489,94.40625,94.875
118,0.3514679063760252,94.03125,94.75
119,0.350964310798549,94.1875,95.5
120,0.35062324771524134,94.96875,95.25
121,0.3499815563002789,94.53125,94.75
122,0.3495906525006505,95.34375,96.25
123,0.34898303445139384,95.4375,95.75
124,0.3487339026110446,95.9375,96.0
125,0.34828053836872724,95.8125,95.375
126,0.3480714161274194,95.84375,95.125
127,0.3477957719688636,96.53125,96.0
128,0.3473555243073011,96.53125,96.25
129,0.3468434740481717,96.5,96.125
130,0.34661756567377044,97.0,96.25
131,0.3465314378393417,96.1875,95.375
132,0.34616572206522817,97.21875,96.375
133,0.34580150744017535,96.78125,96.375
134,0.34549754632469304,97.25,96.625
135,0.3451529723169125,97.34375,96.625
136,0.34484756422301305,97.21875,96.25
137,0.34475784740037524,97.59375,96.75
138,0.34433370731570906,96.875,96.125
139,0.3440261865671026,97.4375,96.625
140,0.34376738720961036,97.21875,96.0
141,0.3437645208657567,97.78125,96.75
142,0.3434439908364939,97.53125,96.375
143,0.34312791384935865,97.71875,96.625
144,0.34280012995142634,97.59375,96.5
145,0.3426900649682994,97.84375,97.125
146,0.34240245080506915,97.71875,96.25
147,0.34205504115414714,98.09375,97.125
148,0.34191307498305995,97.625,97.0
149,0.34166162007778444,97.59375,96.875
150,0.3413593555465576,97.75,97.0
151,0.34119015618668586,97.625,96.875
152,0.34092224388988207,98.15625,97.5
153,0.34067770027750965,97.53125,96.75
154,0.34042319400094234,98.125,97.25
155,0.3403363260116519,98.09375,97.125
156,0.34009246709747004,97.96875,97.25
157,0.3398499652834912,97.75,96.625
158,0.3396184930277015,98.1875,97.25
159,0.33941115169339275,98.0625,97.0
160,0.3392808716327944,97.9375,96.5
161,0.33912343181645377,98.15625,97.5
162,0.33884541569904303,98.03125,97.125
163,0.33859470033092715,98.09375,97.25
164,0.33848047016388777,98.1875,97.75
165,0.3383939539109187,98.125,97.5
166,0.33799901345230715,98.0625,97.25
167,0.337826098858846,98.1875,97.375
168,0.33769283689387863,98.21875,97.5
169,0.3375130462028855,98.28125,97.5
170,0.33742055312958485,98.09375,97.125
171,0.3373451664498753,98.03125,96.75
172,0.3372408796720888,98.375,97.875
173,0.3370402235705162,98.15625,97.75
174,0.3368878712804769,97.96875,96.875
175,0.33676263867635703,98.25,98.0
176,0.33666762880673656,97.9375,97.0
177,0.3365669146124864,98.25,97.875
178,0.33647134607562096,98.28125,97.375
179,0.33619813976117713,98.3125,97.875
180,0.33613631807967986,98.375,98.125
181,0.33614278762722355,98.09375,97.375
182,0.33592352962729366,98.4375,98.125
183,0.33576226230691314,98.375,97.875
184,0.33576854406006373,98.40625,98.125
185,0.3356230627622566,98.15625,97.375
186,0.3356867099613726,98.46875,97.875
187,0.3357448241008845,98.625,98.125
188,0.33546233363894473,98.28125,97.75
189,0.33542686560362844,98.40625,98.125
190,0.33511821165024236,98.4375,98.0
191,0.3350903510362366,98.5,98.125
192,0.3350248945690096,98.40625,98.0
193,0.33493388858460643,98.40625,98.0
194,0.33474610575435604,98.46875,98.0
195,0.334749244308131,98.5625,98.125
196,0.33469727845557173,98.53125,98.0
197,0.3344743673614365,98.53125,98.125
198,0.3344461351585568,98.5,98.0
199,0.33441537825525797,98.5,98.125
