-0.3800-0.1560j, 0.0431-0.6913j, 0.1238+0.0640j, -0.0972+0.0867j, -0.1761+0.0336j, 0.1383+0.1883j, 0.1855+0.1345j, -0.2128-0.3402j, -0.0680-0.0982j, -0.0210+0.0096j, 
0.1507-0.1799j, -0.1284+0.1450j, 0.2821-0.0856j, -0.6431+0.3619j, -0.0300-0.1712j, -0.3124+0.2033j, -0.0013-0.0254j, -0.2799+0.0646j, 0.0347+0.1319j, 0.0684-0.0168j, 
0.1207+0.2048j, -0.1310+0.2042j, -0.0898-0.0360j, -0.0775-0.0664j, 0.1091+0.4177j, -0.0145+0.6853j, 0.0842+0.0004j, 0.1795-0.3208j, -0.1960-0.1237j, -0.0688+0.0895j, 
0.0938-0.1081j, -0.0218-0.0061j, -0.1789+0.7311j, -0.2162+0.2400j, -0.1613+0.3302j, 0.1262-0.0992j, 0.1136-0.1009j, 0.1026+0.2768j, -0.0203-0.1633j, -0.0976-0.0206j, 
0.1633-0.5433j, -0.0527-0.2904j, -0.0029-0.3365j, -0.0718-0.3042j, 0.1400+0.3240j, 0.0461+0.0731j, -0.0184-0.2727j, 0.0774+0.3950j, -0.0908+0.0262j, -0.0355+0.0358j, 
-0.2876+0.0012j, 0.2903+0.1789j, -0.0834-0.0851j, -0.0742+0.0055j, -0.0147+0.5681j, -0.1566-0.2114j, 0.1907+0.1587j, -0.1347-0.0481j, 0.0109+0.4510j, 0.3217-0.0041j, 
-0.0290-0.2165j, -0.2957+0.1467j, 0.2772+0.2265j, 0.1107-0.3172j, -0.0890-0.0274j, 0.2228+0.2695j, 0.0788+0.3318j, 0.0515+0.0879j, 0.4602+0.1835j, 0.2013-0.2423j, 
0.2302+0.0158j, -0.0961-0.1225j, -0.0252-0.1161j, -0.0439+0.1500j, 0.0568+0.0932j, 0.0537-0.1445j, 0.1737+0.2311j, 0.1440-0.0900j, 0.4726+0.1457j, -0.3026+0.6323j, 
0.3698+0.2381j, -0.0546-0.2890j, 0.0581-0.2104j, -0.2005+0.2071j, -0.0832+0.1113j, 0.2327-0.1711j, -0.1201+0.1821j, 0.4011-0.0563j, -0.0290-0.0475j, 0.4551-0.2544j, 
0.0180-0.0024j, -0.0157+0.0021j, 0.0166+0.0146j, -0.0002-0.0100j, -0.3410+0.1118j, 0.0666-0.0150j, -0.2902-0.6699j, 0.0219-0.3846j, 0.3736+0.2028j, 0.0033-0.0573j, 

