-0.5113-0.1230j, 0.1094-0.1791j, -0.2086-0.3318j, 0.1059+0.2653j, 0.4219-0.1987j, -0.1155+0.0198j, 0.0362+0.0837j, 0.2067-0.3279j, -0.0529+0.1982j, -0.0286+0.1071j, 
0.0329+0.4892j, 0.2334+0.1876j, -0.0750-0.0768j, -0.0620+0.0304j, 0.1651+0.1134j, -0.5041+0.0240j, 0.3888-0.2349j, 0.1510+0.3027j, -0.1206+0.0853j, 0.0769-0.1012j, 
-0.1696+0.2785j, -0.3499-0.0483j, 0.3065+0.0087j, 0.3289+0.0908j, 0.1283+0.2308j, 0.1475+0.4812j, -0.0688+0.2658j, 0.2783+0.2132j, -0.0201-0.1208j, 0.1441+0.0370j, 
0.0315+0.0482j, 0.0294+0.4054j, 0.5880+0.1616j, -0.1518+0.3075j, -0.0283-0.2134j, -0.1506+0.1239j, 0.0515-0.0136j, -0.1320-0.4008j, 0.0006+0.1374j, 0.1086+0.2145j, 
0.0907-0.3373j, -0.4349-0.2647j, -0.0021-0.1397j, -0.2379+0.0464j, -0.1424-0.0633j, -0.0488+0.2089j, 0.5853-0.0835j, -0.0183-0.0026j, 0.0079+0.0999j, 0.3092-0.1211j, 
-0.0107-0.2797j, 0.2469+0.0822j, -0.0407+0.4674j, 0.3443+0.0507j, 0.2465-0.0343j, 0.2907+0.0488j, 0.3322-0.0090j, -0.1528+0.3013j, -0.0940+0.3288j, 0.0199+0.1480j, 
-0.2736-0.0569j, 0.0075+0.1136j, 0.0714-0.1665j, -0.2402-0.5321j, -0.0510-0.1563j, -0.0166+0.4452j, -0.0875-0.0514j, -0.2015+0.1451j, -0.3335+0.1885j, -0.2789+0.1152j, 
0.0637-0.2506j, -0.0323+0.4270j, -0.1688-0.0791j, 0.0108-0.0779j, 0.0394-0.3109j, -0.2251+0.1510j, -0.0162+0.3154j, 0.1579+0.2594j, 0.5833-0.0559j, -0.0420-0.0020j, 
0.0346+0.0361j, -0.0593-0.0617j, 0.0011-0.0575j, -0.1881-0.1049j, 0.5400+0.1434j, 0.0858+0.0652j, 0.0714-0.2665j, -0.3332-0.0037j, 0.2941-0.4206j, 0.0456+0.4051j, 
-0.1377-0.0816j, 0.1838+0.1090j, -0.1348+0.2006j, -0.1429-0.2930j, 0.1473+0.2846j, -0.0635+0.1401j, -0.2303+0.0893j, -0.0598-0.2267j, 0.0636+0.1329j, 0.6450-0.2898j, 

