,Losses,Training Accuracy,Validation Accuracy
0,2.925222679644685,28.65,29.875
1,2.3627025412536224,36.975,38.75
2,2.0883222766731695,41.375,43.125
3,1.9196163893340228,44.324999999999996,44.625
4,1.7943422871125223,47.725,46.25
5,1.6965210239445947,49.4,48.375
6,1.6072606069797162,52.025,51.74999999999999
7,1.5269002548885753,55.25,54.75
8,1.4534324537737013,57.475,55.875
9,1.3815706598025574,59.824999999999996,59.375
10,1.3140661969675596,62.075,61.25000000000001
11,1.252341800152092,63.324999999999996,62.875
12,1.1981322284474112,64.55,63.24999999999999
13,1.1529124303795002,65.60000000000001,64.0
14,1.1125883187872418,66.64999999999999,64.875
15,1.0799432678317467,67.675,66.25
16,1.0553183627068272,68.27499999999999,67.25
17,1.0359281741301687,68.95,67.5
18,1.0205638872839777,69.69999999999999,67.625
19,1.0069693430801683,70.22500000000001,68.0
20,0.9957555496552662,70.625,68.5
21,0.9852357742208605,70.875,68.75
22,0.9752487046030424,71.22500000000001,69.125
23,0.9647115095997285,71.42500000000001,69.375
24,0.955239609712563,71.72500000000001,70.0
25,0.9451482157998309,71.775,70.125
26,0.9341463089555261,72.05,70.625
27,0.923875383987108,72.15,69.75
28,0.9124961873328945,72.85000000000001,70.125
29,0.900410944850275,73.3,70.875
30,0.8897406885142616,73.475,70.75
31,0.8778693621242869,74.02499999999999,71.625
32,0.8681421802345242,74.4,72.125
33,0.8579017692593609,74.575,72.75
34,0.8492969909516821,74.7,72.625
35,0.8420486504905088,75.1,72.875
36,0.8352160027278291,75.14999999999999,73.375
37,0.8289409045440987,75.5,73.375
38,0.822167542707651,75.625,73.75
39,0.8163672857931579,75.8,74.375
40,0.8115714002729925,75.8,74.25
41,0.8063090483798523,75.875,75.125
42,0.8017958791636818,75.94999999999999,75.0
43,0.7978119996088763,76.325,75.625
44,0.7930438994686573,76.44999999999999,75.375
45,0.7895487765385657,76.75,75.5
46,0.7859905092563162,76.8,75.75
47,0.7817254158173319,77.0,75.625
48,0.7791850101871735,76.85,75.75
49,0.7763228064785557,76.95,75.625
50,0.7724831017373956,77.35,75.625
51,0.7716345052634398,77.4,76.125
52,0.7676256938100234,77.4,75.625
53,0.7651351820750635,77.45,76.0
54,0.7632340765573653,77.525,76.375
55,0.7613825996467256,77.4,76.0
56,0.7582375025895551,77.47500000000001,76.25
57,0.7567161582729939,77.35,76.25
58,0.7555060451799064,77.75,76.375
59,0.7525341198392913,77.47500000000001,76.5
60,0.7506111823057949,77.575,76.5
61,0.7493859039998413,77.95,76.625
62,0.7478196973759986,77.725,76.5
63,0.7464364789889277,78.075,75.875
64,0.7452657626526759,77.775,76.125
65,0.742933890090058,77.925,76.375
66,0.7428473228119276,77.85,76.5
67,0.7409958576075026,77.95,76.625
68,0.7395299058945438,77.95,76.5
69,0.7379275787924527,78.175,76.5
70,0.7371347629896189,78.10000000000001,76.5
71,0.7353294140339359,77.9,76.625
72,0.7340308097674392,78.125,76.0
73,0.7328278418998808,78.35,76.875
74,0.7328344358698324,78.05,76.875
75,0.7309207697040877,78.425,77.125
76,0.7297693599084963,78.225,76.75
77,0.7279302999944833,78.5,76.5
78,0.7270148881044248,78.425,77.25
79,0.7259455439869378,78.325,76.625
80,0.7248363216170669,78.125,76.875
81,0.7228772120370619,78.60000000000001,77.0
82,0.7214590617782218,78.77499999999999,77.0
83,0.7202457202267804,78.60000000000001,77.5
84,0.7191886987643756,78.57499999999999,77.375
85,0.7172599711616587,78.75,77.5
86,0.716517461010361,78.925,77.375
87,0.7154761376295472,78.8,77.875
88,0.715087721169396,78.85,77.625
89,0.7130157544732868,78.875,77.625
90,0.7125666916841992,78.8,78.0
91,0.7115648134595568,78.925,78.0
92,0.7097124585521998,79.07499999999999,78.0
93,0.7092638911975401,78.975,78.375
94,0.7079680413006902,78.85,78.125
95,0.7068125683962636,79.0,77.875
96,0.7070062876919353,79.225,78.75
97,0.7052606467891896,79.175,78.125
98,0.7047481591368837,79.025,78.375
99,0.7040582345913353,79.2,78.5
100,0.7040895137287241,79.025,78.25
101,0.7021861361180735,79.175,78.125
102,0.7012425292851422,79.07499999999999,78.0
103,0.7005581897108693,79.4,78.5
104,0.6994775724611315,78.9,78.5
105,0.6986470120418588,79.45,78.125
106,0.6982194915779903,79.175,78.625
107,0.6966702012536139,79.07499999999999,78.375
108,0.6967390934187866,79.25,77.75
109,0.6959280429449721,79.425,78.5
110,0.6951737274864647,79.175,77.875
111,0.6943842228426067,79.45,78.125
112,0.6932324547747051,79.35,78.375
113,0.6926049019416498,79.27499999999999,77.875
114,0.6931335889742978,79.475,78.125
115,0.6926658312352174,79.3,78.75
116,0.6918433691465188,79.25,78.125
117,0.6901196830891936,79.10000000000001,78.0
118,0.6898026223247807,79.65,78.75
119,0.6897634905006088,79.4,77.75
120,0.6885892007807053,79.375,78.375
121,0.6866031608659601,79.14999999999999,78.0
122,0.6864711485494657,79.425,78.375
123,0.6853350192047051,79.5,78.375
124,0.6846409831951438,79.5,78.125
125,0.6839735669032551,79.57499999999999,78.375
126,0.682792661487911,79.625,78.375
127,0.682703566613947,79.55,78.25
128,0.682625169754026,79.57499999999999,78.5
129,0.6823409821513269,79.7,78.25
