,Theta,Phi,Accuracy
0,0.0,0.0,98.875
1,0.0,0.025,98.6425
2,0.0,0.05,97.9825
3,0.0,0.07500000000000001,96.665
4,0.0,0.1,93.425
5,0.0,0.125,91.98
6,0.0,0.15000000000000002,83.2575
7,0.0,0.17500000000000002,81.98
8,0.0,0.2,73.75
9,0.0,0.225,69.785
10,0.0,0.25,66.6275
11,0.0,0.275,60.31
12,0.0,0.30000000000000004,54.44
13,0.0,0.325,47.1825
14,0.0,0.35000000000000003,48.42
15,0.0,0.375,48.6475
16,0.0,0.4,43.5475
17,0.0,0.42500000000000004,39.4175
18,0.0,0.45,34.75
19,0.0,0.47500000000000003,35.55
20,0.0,0.5,33.4775
21,0.0,0.525,29.125
22,0.0,0.55,28.84
23,0.0,0.5750000000000001,26.695
24,0.0,0.6000000000000001,26.4825
25,0.0,0.625,25.4025
26,0.0,0.65,22.3
27,0.0,0.675,18.37
28,0.0,0.7000000000000001,20.0575
29,0.0,0.7250000000000001,19.2125
30,0.0,0.75,18.365
31,0.0,0.775,18.515
32,0.0,0.8,17.25
33,0.0,0.8250000000000001,18.8575
34,0.0,0.8500000000000001,16.355
35,0.0,0.875,14.74
36,0.0,0.9,15.24
37,0.0,0.925,12.4
38,0.0,0.9500000000000001,14.3375
39,0.0,0.9750000000000001,13.1575
40,0.0,1.0,12.3475
41,0.025,0.0,98.695
42,0.025,0.025,98.4275
43,0.025,0.05,98.1975
44,0.025,0.07500000000000001,96.0175
45,0.025,0.1,93.02
46,0.025,0.125,87.5475
47,0.025,0.15000000000000002,84.1275
48,0.025,0.17500000000000002,79.2325
49,0.025,0.2,75.1825
50,0.025,0.225,74.8825
51,0.025,0.25,66.1125
52,0.025,0.275,61.465
53,0.025,0.30000000000000004,57.335
54,0.025,0.325,53.53
55,0.025,0.35000000000000003,47.5675
56,0.025,0.375,46.2775
57,0.025,0.4,42.045
58,0.025,0.42500000000000004,42.89
59,0.025,0.45,37.775
60,0.025,0.47500000000000003,28.3725
61,0.025,0.5,35.22
62,0.025,0.525,28.7975
63,0.025,0.55,29.4275
64,0.025,0.5750000000000001,24.925
65,0.025,0.6000000000000001,22.2275
66,0.025,0.625,27.02
67,0.025,0.65,22.5575
68,0.025,0.675,21.2425
69,0.025,0.7000000000000001,17.9625
70,0.025,0.7250000000000001,18.5675
71,0.025,0.75,19.5125
72,0.025,0.775,18.3675
73,0.025,0.8,14.9375
74,0.025,0.8250000000000001,17.1725
75,0.025,0.8500000000000001,15.6125
76,0.025,0.875,14.55
77,0.025,0.9,14.0775
78,0.025,0.925,14.505
79,0.025,0.9500000000000001,15.2225
80,0.025,0.9750000000000001,14.435
81,0.025,1.0,14.0175
82,0.05,0.0,98.6725
83,0.05,0.025,98.5225
84,0.05,0.05,97.375
85,0.05,0.07500000000000001,96.4925
86,0.05,0.1,93.2025
87,0.05,0.125,91.45
88,0.05,0.15000000000000002,86.1025
89,0.05,0.17500000000000002,77.4125
90,0.05,0.2,76.545
91,0.05,0.225,70.8375
92,0.05,0.25,66.2775
93,0.05,0.275,60.54
94,0.05,0.30000000000000004,54.545
95,0.05,0.325,52.595
96,0.05,0.35000000000000003,50.16
97,0.05,0.375,44.1275
98,0.05,0.4,40.88
99,0.05,0.42500000000000004,40.855
100,0.05,0.45,34.8525
101,0.05,0.47500000000000003,32.1825
102,0.05,0.5,32.145
103,0.05,0.525,30.7975
104,0.05,0.55,26.9775
105,0.05,0.5750000000000001,26.245
106,0.05,0.6000000000000001,23.13
107,0.05,0.625,21.1225
108,0.05,0.65,21.945
109,0.05,0.675,22.39
110,0.05,0.7000000000000001,19.8575
111,0.05,0.7250000000000001,19.565
112,0.05,0.75,17.785
113,0.05,0.775,16.25
114,0.05,0.8,15.74
115,0.05,0.8250000000000001,16.765
116,0.05,0.8500000000000001,16.95
117,0.05,0.875,15.6425
118,0.05,0.9,15.165
119,0.05,0.925,14.5825
120,0.05,0.9500000000000001,14.095
121,0.05,0.9750000000000001,14.395
122,0.05,1.0,13.4525
123,0.07500000000000001,0.0,98.445
124,0.07500000000000001,0.025,98.16
125,0.07500000000000001,0.05,97.0475
126,0.07500000000000001,0.07500000000000001,96.2875
127,0.07500000000000001,0.1,92.8625
128,0.07500000000000001,0.125,88.98
129,0.07500000000000001,0.15000000000000002,84.9025
130,0.07500000000000001,0.17500000000000002,79.3225
131,0.07500000000000001,0.2,74.685
132,0.07500000000000001,0.225,67.8475
133,0.07500000000000001,0.25,65.1275
134,0.07500000000000001,0.275,60.2075
135,0.07500000000000001,0.30000000000000004,55.1325
136,0.07500000000000001,0.325,53.53
137,0.07500000000000001,0.35000000000000003,47.575
138,0.07500000000000001,0.375,45.1575
139,0.07500000000000001,0.4,41.7675
140,0.07500000000000001,0.42500000000000004,38.7825
141,0.07500000000000001,0.45,33.58
142,0.07500000000000001,0.47500000000000003,32.4525
143,0.07500000000000001,0.5,32.515
144,0.07500000000000001,0.525,29.03
145,0.07500000000000001,0.55,27.785
146,0.07500000000000001,0.5750000000000001,25.795
147,0.07500000000000001,0.6000000000000001,25.0925
148,0.07500000000000001,0.625,22.355
149,0.07500000000000001,0.65,22.1525
150,0.07500000000000001,0.675,19.93
151,0.07500000000000001,0.7000000000000001,19.5575
152,0.07500000000000001,0.7250000000000001,19.335
153,0.07500000000000001,0.75,15.7075
154,0.07500000000000001,0.775,17.6525
155,0.07500000000000001,0.8,18.1725
156,0.07500000000000001,0.8250000000000001,15.79
157,0.07500000000000001,0.8500000000000001,15.0325
158,0.07500000000000001,0.875,13.3775
159,0.07500000000000001,0.9,13.47
160,0.07500000000000001,0.925,13.5575
161,0.07500000000000001,0.9500000000000001,13.2875
162,0.07500000000000001,0.9750000000000001,14.1225
163,0.07500000000000001,1.0,13.96
164,0.1,0.0,97.8775
165,0.1,0.025,97.4875
166,0.1,0.05,96.205
167,0.1,0.07500000000000001,95.7025
168,0.1,0.1,92.45
169,0.1,0.125,88.85
170,0.1,0.15000000000000002,82.595
171,0.1,0.17500000000000002,78.6875
172,0.1,0.2,72.065
173,0.1,0.225,69.4025
174,0.1,0.25,64.1375
175,0.1,0.275,61.0
176,0.1,0.30000000000000004,55.1425
177,0.1,0.325,51.625
178,0.1,0.35000000000000003,50.0825
179,0.1,0.375,42.79
180,0.1,0.4,43.3425
181,0.1,0.42500000000000004,37.51
182,0.1,0.45,39.88
183,0.1,0.47500000000000003,32.755
184,0.1,0.5,31.4125
185,0.1,0.525,26.615
186,0.1,0.55,27.215
187,0.1,0.5750000000000001,24.595
188,0.1,0.6000000000000001,24.685
189,0.1,0.625,24.285
190,0.1,0.65,19.9275
