,Theta,Phi,Accuracy
0,0.0,0.0,73.0
1,0.0,0.025,72.1475
2,0.0,0.05,70.2575
3,0.0,0.07500000000000001,70.755
4,0.0,0.1,68.29
5,0.0,0.125,64.07
6,0.0,0.15000000000000002,62.0325
7,0.0,0.17500000000000002,59.09
8,0.0,0.2,53.83
9,0.0,0.225,50.9075
10,0.0,0.25,49.695
11,0.0,0.275,45.0775
12,0.0,0.30000000000000004,41.205
13,0.0,0.325,40.6275
14,0.0,0.35000000000000003,36.2725
15,0.0,0.375,37.3125
16,0.0,0.4,33.2175
17,0.0,0.42500000000000004,31.7475
18,0.0,0.45,29.27
19,0.0,0.47500000000000003,26.635
20,0.0,0.5,26.6525
21,0.0,0.525,22.3475
22,0.0,0.55,23.255
23,0.0,0.5750000000000001,20.195
24,0.0,0.6000000000000001,21.96
25,0.0,0.625,18.6375
26,0.0,0.65,17.7575
27,0.0,0.675,16.76
28,0.0,0.7000000000000001,17.805
29,0.0,0.7250000000000001,16.1975
30,0.0,0.75,16.3675
31,0.0,0.775,15.6975
32,0.0,0.8,15.8825
33,0.0,0.8250000000000001,13.9475
34,0.0,0.8500000000000001,14.055
35,0.0,0.875,14.945
36,0.0,0.9,13.8475
37,0.0,0.925,12.465
38,0.0,0.9500000000000001,13.525
39,0.0,0.9750000000000001,13.1
40,0.0,1.0,12.625
41,0.025,0.0,72.495
42,0.025,0.025,71.9525
43,0.025,0.05,70.535
44,0.025,0.07500000000000001,70.3925
45,0.025,0.1,67.4825
46,0.025,0.125,63.065
47,0.025,0.15000000000000002,61.9675
48,0.025,0.17500000000000002,60.22
49,0.025,0.2,56.58
50,0.025,0.225,52.6975
51,0.025,0.25,48.84
52,0.025,0.275,44.6125
53,0.025,0.30000000000000004,40.6275
54,0.025,0.325,41.5375
55,0.025,0.35000000000000003,39.2475
56,0.025,0.375,34.7625
57,0.025,0.4,29.8275
58,0.025,0.42500000000000004,29.46
59,0.025,0.45,26.6675
60,0.025,0.47500000000000003,27.755
61,0.025,0.5,25.9975
62,0.025,0.525,22.59
63,0.025,0.55,22.3925
64,0.025,0.5750000000000001,22.645
65,0.025,0.6000000000000001,20.835
66,0.025,0.625,19.33
67,0.025,0.65,20.01
68,0.025,0.675,18.525
69,0.025,0.7000000000000001,17.155
70,0.025,0.7250000000000001,17.0825
71,0.025,0.75,16.0675
72,0.025,0.775,16.5375
73,0.025,0.8,16.055
74,0.025,0.8250000000000001,13.9825
75,0.025,0.8500000000000001,13.4075
76,0.025,0.875,14.8025
77,0.025,0.9,14.7275
78,0.025,0.925,13.75
79,0.025,0.9500000000000001,13.9
80,0.025,0.9750000000000001,13.68
81,0.025,1.0,13.735
82,0.05,0.0,71.6375
83,0.05,0.025,72.2275
84,0.05,0.05,71.465
85,0.05,0.07500000000000001,68.79
86,0.05,0.1,66.5775
87,0.05,0.125,63.6825
88,0.05,0.15000000000000002,61.32
89,0.05,0.17500000000000002,56.3675
90,0.05,0.2,53.18
91,0.05,0.225,52.9025
92,0.05,0.25,50.0375
93,0.05,0.275,43.1
94,0.05,0.30000000000000004,38.715
95,0.05,0.325,37.37
96,0.05,0.35000000000000003,37.8725
97,0.05,0.375,32.6575
98,0.05,0.4,33.185
99,0.05,0.42500000000000004,29.745
100,0.05,0.45,29.045
101,0.05,0.47500000000000003,26.3875
102,0.05,0.5,24.8125
103,0.05,0.525,25.1425
104,0.05,0.55,21.54
105,0.05,0.5750000000000001,21.35
106,0.05,0.6000000000000001,20.65
107,0.05,0.625,18.5725
108,0.05,0.65,18.1525
109,0.05,0.675,18.5825
110,0.05,0.7000000000000001,19.33
111,0.05,0.7250000000000001,16.7725
112,0.05,0.75,15.655
113,0.05,0.775,15.5475
114,0.05,0.8,15.8575
115,0.05,0.8250000000000001,13.35
116,0.05,0.8500000000000001,15.2575
117,0.05,0.875,15.7475
118,0.05,0.9,13.7275
119,0.05,0.925,13.7
120,0.05,0.9500000000000001,13.5525
121,0.05,0.9750000000000001,14.315
122,0.05,1.0,13.165
123,0.07500000000000001,0.0,71.44
124,0.07500000000000001,0.025,71.2525
125,0.07500000000000001,0.05,70.6325
126,0.07500000000000001,0.07500000000000001,68.77
127,0.07500000000000001,0.1,66.94
128,0.07500000000000001,0.125,65.2625
129,0.07500000000000001,0.15000000000000002,61.8775
130,0.07500000000000001,0.17500000000000002,56.2175
131,0.07500000000000001,0.2,56.2575
132,0.07500000000000001,0.225,50.385
133,0.07500000000000001,0.25,49.9975
134,0.07500000000000001,0.275,45.625
135,0.07500000000000001,0.30000000000000004,43.1625
136,0.07500000000000001,0.325,41.1725
137,0.07500000000000001,0.35000000000000003,35.47
138,0.07500000000000001,0.375,37.4275
139,0.07500000000000001,0.4,31.215
140,0.07500000000000001,0.42500000000000004,32.5225
141,0.07500000000000001,0.45,25.545
142,0.07500000000000001,0.47500000000000003,27.1275
143,0.07500000000000001,0.5,26.3325
144,0.07500000000000001,0.525,22.7
145,0.07500000000000001,0.55,20.575
146,0.07500000000000001,0.5750000000000001,23.36
147,0.07500000000000001,0.6000000000000001,21.2575
148,0.07500000000000001,0.625,22.07
149,0.07500000000000001,0.65,18.945
150,0.07500000000000001,0.675,20.1125
151,0.07500000000000001,0.7000000000000001,17.5575
152,0.07500000000000001,0.7250000000000001,16.775
153,0.07500000000000001,0.75,17.5475
154,0.07500000000000001,0.775,15.94
155,0.07500000000000001,0.8,15.2375
156,0.07500000000000001,0.8250000000000001,14.01
157,0.07500000000000001,0.8500000000000001,13.125
158,0.07500000000000001,0.875,14.76
159,0.07500000000000001,0.9,14.04
160,0.07500000000000001,0.925,13.57
161,0.07500000000000001,0.9500000000000001,13.5875
162,0.07500000000000001,0.9750000000000001,12.885
163,0.07500000000000001,1.0,13.565
164,0.1,0.0,70.8025
165,0.1,0.025,70.86
166,0.1,0.05,70.83
167,0.1,0.07500000000000001,68.2225
168,0.1,0.1,66.445
169,0.1,0.125,63.6675
170,0.1,0.15000000000000002,62.335
171,0.1,0.17500000000000002,56.2775
172,0.1,0.2,51.42
173,0.1,0.225,52.0425
174,0.1,0.25,48.5
175,0.1,0.275,42.81
176,0.1,0.30000000000000004,42.2775
177,0.1,0.325,37.92
178,0.1,0.35000000000000003,34.965
179,0.1,0.375,36.0275
180,0.1,0.4,31.845
181,0.1,0.42500000000000004,30.205
182,0.1,0.45,27.9225
183,0.1,0.47500000000000003,25.1975
184,0.1,0.5,23.7975
185,0.1,0.525,23.265
186,0.1,0.55,21.605
187,0.1,0.5750000000000001,23.7025
188,0.1,0.6000000000000001,22.26
189,0.1,0.625,19.5525
190,0.1,0.65,18.4325
191,0.1,0.675,17.755
192,0.1,0.7000000000000001,17.125
193,0.1,0.7250000000000001,16.145
194,0.1,0.75,16.3525
195,0.1,0.775,14.305
196,0.1,0.8,16.57
197,0.1,0.8250000000000001,13.73
198,0.1,0.8500000000000001,14.5425
199,0.1,0.875,13.8275
200,0.1,0.9,13.995
201,0.1,0.925,14.7825
202,0.1,0.9500000000000001,13.5375
203,0.1,0.9750000000000001,14.2025
204,0.1,1.0,11.9
205,0.125,0.0,70.4225
206,0.125,0.025,68.445
207,0.125,0.05,68.185
208,0.125,0.07500000000000001,66.4125
209,0.125,0.1,64.9075
210,0.125,0.125,61.31
211,0.125,0.15000000000000002,57.955
212,0.125,0.17500000000000002,55.835
213,0.125,0.2,52.25
214,0.125,0.225,50.625
215,0.125,0.25,45.53
216,0.125,0.275,44.5225
217,0.125,0.30000000000000004,40.6575
218,0.125,0.325,35.1025
219,0.125,0.35000000000000003,37.3675
220,0.125,0.375,32.11
221,0.125,0.4,31.6
222,0.125,0.42500000000000004,30.8925
223,0.125,0.45,26.52
224,0.125,0.47500000000000003,26.32
225,0.125,0.5,23.93
226,0.125,0.525,22.46
227,0.125,0.55,23.3075
228,0.125,0.5750000000000001,21.5325
229,0.125,0.6000000000000001,23.2975
230,0.125,0.625,18.6
231,0.125,0.65,19.7125
232,0.125,0.675,16.1075
233,0.125,0.7000000000000001,16.3075
234,0.125,0.7250000000000001,17.0
235,0.125,0.75,17.5375
236,0.125,0.775,13.44
237,0.125,0.8,16.55
238,0.125,0.8250000000000001,13.995
239,0.125,0.8500000000000001,14.6375
240,0.125,0.875,14.3125
241,0.125,0.9,11.99
242,0.125,0.925,14.2725
243,0.125,0.9500000000000001,13.79
244,0.125,0.9750000000000001,13.17
245,0.125,1.0,12.04
246,0.15000000000000002,0.0,68.4975
247,0.15000000000000002,0.025,67.925
248,0.15000000000000002,0.05,68.4925
249,0.15000000000000002,0.07500000000000001,66.8025
250,0.15000000000000002,0.1,64.01
251,0.15000000000000002,0.125,61.9025
252,0.15000000000000002,0.15000000000000002,58.8325
253,0.15000000000000002,0.17500000000000002,55.3825
254,0.15000000000000002,0.2,50.79
255,0.15000000000000002,0.225,49.1425
256,0.15000000000000002,0.25,45.0575
257,0.15000000000000002,0.275,46.245
258,0.15000000000000002,0.30000000000000004,40.46
259,0.15000000000000002,0.325,37.8125
260,0.15000000000000002,0.35000000000000003,36.9525
261,0.15000000000000002,0.375,30.9325
262,0.15000000000000002,0.4,29.3375
263,0.15000000000000002,0.42500000000000004,28.6375
264,0.15000000000000002,0.45,27.7975
265,0.15000000000000002,0.47500000000000003,30.29
266,0.15000000000000002,0.5,23.7775
267,0.15000000000000002,0.525,25.535
268,0.15000000000000002,0.55,21.93
269,0.15000000000000002,0.5750000000000001,19.9225
270,0.15000000000000002,0.6000000000000001,20.2525
271,0.15000000000000002,0.625,18.1275
272,0.15000000000000002,0.65,16.53
273,0.15000000000000002,0.675,18.055
274,0.15000000000000002,0.7000000000000001,19.125
275,0.15000000000000002,0.7250000000000001,17.665
276,0.15000000000000002,0.75,15.2725
277,0.15000000000000002,0.775,15.315
278,0.15000000000000002,0.8,15.31
279,0.15000000000000002,0.8250000000000001,14.015
280,0.15000000000000002,0.8500000000000001,14.24
281,0.15000000000000002,0.875,14.0125
282,0.15000000000000002,0.9,13.9925
283,0.15000000000000002,0.925,12.8275
284,0.15000000000000002,0.9500000000000001,13.0975
285,0.15000000000000002,0.9750000000000001,12.525
286,0.15000000000000002,1.0,12.9
287,0.17500000000000002,0.0,66.6025
288,0.17500000000000002,0.025,68.475
289,0.17500000000000002,0.05,65.9775
290,0.17500000000000002,0.07500000000000001,64.0625
291,0.17500000000000002,0.1,63.17
292,0.17500000000000002,0.125,59.6525
293,0.17500000000000002,0.15000000000000002,56.51
294,0.17500000000000002,0.17500000000000002,54.525
295,0.17500000000000002,0.2,53.0175
296,0.17500000000000002,0.225,49.3425
297,0.17500000000000002,0.25,46.0925
298,0.17500000000000002,0.275,42.5
299,0.17500000000000002,0.30000000000000004,40.49
300,0.17500000000000002,0.325,36.4075
301,0.17500000000000002,0.35000000000000003,36.71
302,0.17500000000000002,0.375,33.57
