-0.1913-0.6108j, 0.1061-0.0498j, -0.1829-0.0812j, 0.0660+0.0017j, 0.5672+0.1312j, -0.3206+0.1327j, 0.1128-0.0664j, 0.1671-0.1607j, 0.0382+0.0153j, 0.0156-0.0119j, 
0.3590-0.3238j, 0.0521-0.3462j, 0.0045+0.0771j, 0.0127+0.2218j, -0.0658-0.2947j, 0.3353+0.1704j, -0.4538-0.0980j, 0.3064-0.0345j, -0.0222+0.2054j, -0.0050-0.0486j, 
-0.0225-0.0311j, 0.0551+0.3219j, 0.4562-0.2181j, -0.1744-0.3537j, 0.0681-0.3444j, -0.1323-0.3643j, -0.1533-0.2360j, 0.2970-0.1603j, 0.0434+0.1057j, -0.0130-0.0283j, 
0.3606-0.0689j, 0.1544+0.3301j, 0.0293+0.3753j, -0.0748+0.2111j, 0.0273-0.1923j, 0.1042+0.0246j, 0.3702+0.0564j, -0.1416-0.5512j, 0.1453-0.0710j, -0.0267-0.0214j, 
-0.1779-0.0833j, -0.2165+0.4868j, -0.3417-0.0098j, 0.1262+0.3113j, -0.2840+0.1275j, 0.0227-0.0220j, -0.1102-0.5535j, 0.0874-0.0305j, -0.0379+0.1351j, -0.0209-0.0527j, 
0.2175-0.0720j, -0.1347-0.1807j, -0.4720+0.2535j, -0.0966-0.3882j, 0.0099-0.1498j, -0.2114-0.3855j, -0.1140-0.1152j, -0.3627-0.0434j, -0.1208+0.2278j, 0.0525-0.0703j, 
0.2327-0.0956j, -0.1124+0.1266j, -0.0575-0.2184j, 0.2569-0.5237j, -0.1544-0.0040j, 0.0637+0.4819j, 0.0665-0.0725j, -0.1130+0.0337j, 0.4436+0.0696j, -0.1573-0.0825j, 
-0.2498-0.0448j, 0.4690-0.0856j, -0.1007+0.0903j, -0.0905-0.1319j, -0.2796+0.0510j, 0.1635-0.0472j, 0.4073+0.0534j, 0.2289+0.0993j, 0.0158+0.5304j, 0.0400-0.2011j, 
-0.0234-0.0331j, -0.0749-0.1674j, 0.1570+0.2423j, -0.0001-0.3192j, -0.3465+0.2528j, -0.1827+0.2884j, 0.0142-0.1405j, 0.2255-0.3794j, -0.4569-0.1725j, 0.1275+0.0975j, 
0.0003-0.0007j, 0.0017-0.0036j, -0.0017+0.0066j, 0.0042-0.0042j, -0.0302-0.0042j, 0.0193+0.0094j, -0.0093-0.0680j, -0.0081+0.0205j, 0.3276+0.0338j, 0.8848+0.3192j, 

