,Losses,Training Accuracy,Validation Accuracy
0,2.685962887512163,23.849999999999998,23.625
1,2.2514018450879125,33.35,32.625
2,1.948545385790218,43.2,42.0
3,1.7520714209964845,47.175,45.875
4,1.634082337576083,50.24999999999999,47.5
5,1.5463415709770876,52.5,51.125
6,1.4697140084464102,55.074999999999996,53.75
7,1.3949816726802156,58.12500000000001,56.25
8,1.3263923032750313,60.6,58.62500000000001
9,1.2628861962038718,62.8,61.875
10,1.2100237350285383,63.800000000000004,62.5
11,1.1664942951614679,65.025,63.375
12,1.1322951229681792,66.27499999999999,64.25
13,1.101319405675839,67.30000000000001,65.375
14,1.076404150002043,68.0,66.5
15,1.0531751380310108,69.025,67.0
16,1.0332338257873734,69.425,68.625
17,1.0170429491693558,69.875,69.0
18,1.0017201678148415,70.275,69.25
19,0.9885805315809945,70.525,68.875
20,0.9769131571322854,71.05,69.375
21,0.9681789973786119,71.05,69.875
22,0.9590225714319899,71.3,70.5
23,0.950796033357035,71.875,70.5
24,0.9437796431074572,71.925,70.875
25,0.9375058536117236,72.25,71.25
26,0.9311602750167051,72.32499999999999,71.25
27,0.9247116985619219,72.675,71.875
28,0.9192203483396174,72.82499999999999,71.875
29,0.9147359298299775,73.075,71.875
30,0.9092876796118173,73.125,72.25
31,0.9048468199203434,73.15,72.5
32,0.8999508112485274,73.32499999999999,72.75
33,0.8960413557102661,73.32499999999999,73.0
34,0.891038926870756,73.675,73.0
35,0.8864012597006851,73.97500000000001,73.125
36,0.8824671951960952,73.925,73.375
37,0.8797966509238406,73.97500000000001,73.375
38,0.8756016937952068,74.0,73.625
39,0.8721395622781796,74.0,73.375
40,0.8681343314253912,74.2,73.25
41,0.8651260234470535,74.25,74.0
42,0.8621460617267938,74.375,74.0
43,0.8595210709093558,74.3,74.75
44,0.8559907231708412,74.52499999999999,74.5
45,0.8545185695777319,74.6,74.375
46,0.8515404361535037,74.52499999999999,74.25
47,0.8489660653113156,74.52499999999999,74.5
48,0.8469762743873196,74.875,74.5
49,0.8443698061168508,74.8,74.5
50,0.8429663533444276,74.825,74.0
51,0.8406268126177825,74.825,75.0
52,0.8386412386160501,74.925,74.375
53,0.8374429927062543,74.925,74.375
54,0.8353421061939239,75.05,74.375
55,0.8336423130543982,75.075,74.375
56,0.8316978383665297,75.05,74.625
57,0.8303577656666198,75.02499999999999,74.625
58,0.8281512309696134,75.125,74.25
59,0.826471912816096,75.1,74.625
60,0.8263688861930237,75.1,74.875
61,0.8237449366091405,75.1,74.5
62,0.8231412497195871,74.97500000000001,74.875
63,0.8218600105485737,75.14999999999999,75.125
64,0.8214870260564713,75.225,74.625
65,0.820174731378933,75.25,75.25
66,0.8183017603093778,75.1,74.75
67,0.8173422131062821,75.175,75.0
68,0.816064350305101,75.25,75.25
69,0.8158456853832314,75.4,75.0
70,0.8139848561759708,75.175,74.875
71,0.8128234809025873,75.2,74.5
72,0.8121887162308616,75.375,74.875
73,0.8111218879682576,75.325,74.625
74,0.8108193939694568,75.4,74.75
75,0.8099074916394827,75.4,74.625
76,0.8081761944449126,75.35,74.75
77,0.8081138648124713,75.44999999999999,75.0
78,0.807527933562154,75.52499999999999,74.75
79,0.8074687758748605,75.44999999999999,75.625
80,0.8064774451231354,75.425,74.875
81,0.8048863860149389,75.5,75.25
82,0.8043938434316878,75.575,75.25
83,0.8035003618653374,75.6,75.125
84,0.8023689007630199,75.575,75.375
85,0.8019205933679772,75.675,75.125
86,0.80260295274879,75.725,75.25
87,0.8003271390069727,75.675,75.5
88,0.7995404622460744,75.75,75.75
89,0.7993316599330872,75.7,75.625
90,0.7993702085594945,75.7,75.75
91,0.7970941638878973,75.64999999999999,75.75
92,0.796882341463823,75.675,75.625
93,0.7968542889247725,75.8,75.75
94,0.7959978030744905,75.925,75.5
95,0.7946333488425164,75.9,75.875
96,0.7945845065933783,75.825,76.25
97,0.793435485824664,75.875,75.875
98,0.7925881942460616,76.05,76.0
99,0.7923353271480927,76.075,76.5
100,0.7910579634475304,75.94999999999999,76.0
101,0.7913230321361469,76.1,76.125
102,0.7905692748137161,75.925,76.0
103,0.7901691566945214,76.02499999999999,76.375
104,0.7898660862023925,76.14999999999999,76.25
105,0.7889742515709147,76.075,76.0
106,0.7880272933757257,76.325,76.75
107,0.7880501951554473,76.1,76.25
108,0.7863623401670764,76.2,76.625
109,0.7861153333395818,76.1,76.0
110,0.7851220595317363,76.25,75.875
111,0.7847611575686086,76.4,77.0
112,0.7846530494609443,76.25,76.5
113,0.7839309304492522,76.175,76.25
114,0.7828810353933868,76.4,76.875
115,0.7822886208856851,76.225,76.625
116,0.7826990733651005,76.35,76.5
117,0.7811155363949128,76.375,76.75
118,0.780509878029513,76.375,76.625
119,0.7801584113473246,76.525,76.375
120,0.7804576290799979,76.25,76.625
121,0.7793885862633433,76.4,76.5
122,0.7787136915608949,76.425,76.625
123,0.7781266233511601,76.325,76.5
124,0.7783476461382738,76.3,76.375
125,0.7784740034136592,76.5,76.25
126,0.7772608486975743,76.425,76.5
127,0.776744027696375,76.6,76.125
128,0.7767621702654606,76.625,76.75
