,Losses,Training Accuracy,Validation Accuracy
0,2.8921115645737077,25.6,22.375
1,2.2572696378176644,36.55,33.25
2,1.87202678505792,45.0,42.875
3,1.742287980070836,48.325,47.5
4,1.671826020108085,51.37500000000001,49.75
5,1.5989944384917392,53.1,51.24999999999999
6,1.5387042863336202,54.625,53.25
7,1.4789329378763687,56.275,54.87499999999999
8,1.4259237617692095,57.8,56.25
9,1.37335805007752,59.650000000000006,57.125
10,1.3240885474284987,61.025,59.0
11,1.280205559757303,62.0,60.0
12,1.241427539129617,62.575,60.875
13,1.2071762130840726,63.425,62.125
14,1.1773882352926417,64.1,62.5
15,1.1514829001272535,64.95,62.74999999999999
16,1.126099355612743,65.9,64.125
17,1.1031843584805339,66.75,64.375
18,1.0814502909022505,67.475,65.125
19,1.0616248377857211,68.25,67.0
20,1.042734239473435,68.675,67.375
21,1.0258612094934283,68.925,68.125
22,1.0103047819971984,69.45,68.0
23,0.9940911816238218,69.875,68.375
24,0.9806904912009755,70.525,69.125
25,0.967382145108347,71.22500000000001,69.375
26,0.9566702431222439,71.475,70.375
27,0.9450432171265245,71.975,70.5
28,0.9370240549580681,72.475,70.75
29,0.9283124628495785,72.52499999999999,70.875
30,0.9207866187488296,72.7,71.125
31,0.9134333578286816,72.925,71.5
32,0.9069044642059942,73.2,71.0
33,0.9001104228300887,73.3,71.75
34,0.8944435137787642,73.35000000000001,72.125
35,0.8891736251682704,73.4,71.875
36,0.8846337847980916,73.85000000000001,71.75
37,0.8809178083251767,73.7,71.75
38,0.8776178206610198,74.0,72.0
39,0.8729207729820903,73.925,71.875
40,0.8697770099580386,74.075,71.5
41,0.8659661950735973,74.175,71.625
42,0.8642831777645253,74.4,71.25
43,0.8614989334773159,74.47500000000001,72.5
44,0.8584277037108055,74.3,72.25
45,0.8558521876461654,74.02499999999999,72.5
46,0.8534080370215009,74.375,72.0
47,0.8513744388944595,74.325,72.375
48,0.8469821346397768,74.4,72.5
49,0.8449511736724291,74.45,72.5
50,0.8429757564423519,74.52499999999999,72.375
51,0.8410724971296889,74.825,72.875
52,0.8389305243655959,74.8,72.875
53,0.8367822977154439,74.9,72.875
54,0.8342186432407427,74.875,73.0
55,0.8329343686155746,74.85000000000001,72.75
56,0.8315787940202486,75.0,73.0
57,0.8280444168397024,75.14999999999999,73.0
58,0.8275556402121962,75.125,73.125
59,0.8250910098666995,75.44999999999999,72.875
60,0.8233317963970349,75.375,72.875
61,0.8223392864070757,75.575,73.125
62,0.8210913615362553,75.6,73.125
63,0.8181812747138411,75.6,73.625
64,0.8178780908352025,75.575,73.25
65,0.8170737712828012,75.875,73.25
66,0.8150309024079025,75.625,73.125
67,0.8119158961752581,75.825,73.0
68,0.8102797343763476,75.625,73.125
69,0.8111385317378301,75.675,73.0
70,0.8094636813139163,75.55,73.5
71,0.8071216551368047,75.52499999999999,73.75
72,0.8061248469058206,75.55,73.75
73,0.8058202124805883,75.75,73.875
74,0.8046225235347872,75.725,73.5
75,0.802725524597844,75.575,74.25
76,0.8020471195061123,75.97500000000001,73.75
77,0.8007276604121796,75.825,74.25
78,0.7988966120046281,76.075,74.125
79,0.7978918726028208,75.8,73.875
80,0.7966130388138352,75.775,74.25
81,0.796824256272508,75.9,74.625
82,0.7952984076452415,75.9,74.25
83,0.7939458241132575,75.94999999999999,74.375
84,0.7935862909678841,76.0,74.25
85,0.7923420621796887,75.97500000000001,74.625
86,0.7916632967956153,75.775,74.5
87,0.7917727114216327,76.25,74.875
88,0.7897784002880132,75.9,75.0
89,0.7890710912592257,76.25,74.875
90,0.7877563725271529,76.1,75.125
91,0.7872534868073808,76.425,75.25
92,0.7866506114417865,76.225,75.625
93,0.7852263827119571,76.275,75.5
94,0.7843207249006178,76.25,75.5
95,0.7836774704541767,76.25,76.0
96,0.7843267595385683,76.5,76.0
97,0.7825029992785618,76.44999999999999,76.0
98,0.7809675713774586,76.47500000000001,76.0
99,0.7811579277388212,76.44999999999999,76.625
100,0.7800073115908678,76.5,76.625
101,0.7801614714006575,76.7,76.875
102,0.7782711603549589,76.6,76.375
103,0.7782253552034122,76.75,76.75
104,0.7768659242462543,76.7,76.5
105,0.776483738866631,76.7,76.875
106,0.7756873428903229,76.775,76.75
107,0.775415302268216,76.8,77.25
108,0.7734283793193356,76.75,77.375
109,0.7736645157639702,76.925,77.125
110,0.7729103984344485,76.97500000000001,76.75
111,0.7715679897722781,76.97500000000001,77.375
112,0.7709583159991276,76.925,77.375
