,Theta,Phi,Accuracy
0,0.0,0.0,77.875
1,0.0,0.025,77.6175
2,0.0,0.05,76.9275
3,0.0,0.07500000000000001,75.91
4,0.0,0.1,74.455
5,0.0,0.125,71.82
6,0.0,0.15000000000000002,69.61
7,0.0,0.17500000000000002,67.39
8,0.0,0.2,62.9825
9,0.0,0.225,59.9425
10,0.0,0.25,55.195
11,0.0,0.275,54.205
12,0.0,0.30000000000000004,50.04
13,0.0,0.325,45.45
14,0.0,0.35000000000000003,42.7325
15,0.0,0.375,38.4175
16,0.0,0.4,36.3525
17,0.0,0.42500000000000004,32.305
18,0.0,0.45,29.42
19,0.0,0.47500000000000003,27.345
20,0.0,0.5,25.3125
21,0.0,0.525,22.8025
22,0.0,0.55,21.1525
23,0.0,0.5750000000000001,18.62
24,0.0,0.6000000000000001,17.925
25,0.0,0.625,17.2675
26,0.0,0.65,15.7425
27,0.0,0.675,14.7425
28,0.0,0.7000000000000001,16.16
29,0.0,0.7250000000000001,14.5375
30,0.0,0.75,13.8225
31,0.0,0.775,12.185
32,0.0,0.8,12.8625
33,0.0,0.8250000000000001,11.915
34,0.0,0.8500000000000001,11.29
35,0.0,0.875,11.8
36,0.0,0.9,10.66
37,0.0,0.925,10.425
38,0.0,0.9500000000000001,10.4675
39,0.0,0.9750000000000001,11.2425
40,0.0,1.0,10.9975
41,0.025,0.0,77.7075
42,0.025,0.025,77.3875
43,0.025,0.05,76.6675
44,0.025,0.07500000000000001,75.555
45,0.025,0.1,73.6625
46,0.025,0.125,71.6525
47,0.025,0.15000000000000002,69.62
48,0.025,0.17500000000000002,67.1025
49,0.025,0.2,63.475
50,0.025,0.225,59.8
51,0.025,0.25,55.31
52,0.025,0.275,51.39
53,0.025,0.30000000000000004,48.86
54,0.025,0.325,44.86
55,0.025,0.35000000000000003,41.395
56,0.025,0.375,38.31
57,0.025,0.4,34.9225
58,0.025,0.42500000000000004,32.42
59,0.025,0.45,30.2075
60,0.025,0.47500000000000003,28.0875
61,0.025,0.5,25.12
62,0.025,0.525,23.1225
63,0.025,0.55,21.2075
64,0.025,0.5750000000000001,19.945
65,0.025,0.6000000000000001,18.6525
66,0.025,0.625,18.4
67,0.025,0.65,16.3025
68,0.025,0.675,14.1575
69,0.025,0.7000000000000001,15.7775
70,0.025,0.7250000000000001,12.9975
71,0.025,0.75,12.895
72,0.025,0.775,11.5725
73,0.025,0.8,13.7825
74,0.025,0.8250000000000001,11.575
75,0.025,0.8500000000000001,11.245
76,0.025,0.875,10.83
77,0.025,0.9,12.4225
78,0.025,0.925,11.7225
79,0.025,0.9500000000000001,12.1025
80,0.025,0.9750000000000001,11.0325
81,0.025,1.0,11.5125
82,0.05,0.0,77.1075
83,0.05,0.025,76.7575
84,0.05,0.05,76.555
85,0.05,0.07500000000000001,75.0975
86,0.05,0.1,72.885
87,0.05,0.125,70.7275
88,0.05,0.15000000000000002,68.6525
89,0.05,0.17500000000000002,65.8825
90,0.05,0.2,63.2625
91,0.05,0.225,58.5525
92,0.05,0.25,55.76
93,0.05,0.275,52.4875
94,0.05,0.30000000000000004,48.5175
95,0.05,0.325,44.79
96,0.05,0.35000000000000003,42.9
97,0.05,0.375,38.1125
98,0.05,0.4,34.655
99,0.05,0.42500000000000004,31.94
100,0.05,0.45,29.415
101,0.05,0.47500000000000003,26.7025
102,0.05,0.5,24.875
103,0.05,0.525,24.96
104,0.05,0.55,20.175
105,0.05,0.5750000000000001,19.385
106,0.05,0.6000000000000001,18.6
107,0.05,0.625,18.2025
108,0.05,0.65,17.3175
109,0.05,0.675,16.595
110,0.05,0.7000000000000001,14.8225
111,0.05,0.7250000000000001,13.8025
112,0.05,0.75,12.64
113,0.05,0.775,11.38
114,0.05,0.8,11.93
115,0.05,0.8250000000000001,11.3425
116,0.05,0.8500000000000001,11.65
117,0.05,0.875,10.59
118,0.05,0.9,11.355
119,0.05,0.925,11.0975
120,0.05,0.9500000000000001,12.395
121,0.05,0.9750000000000001,11.3775
122,0.05,1.0,11.03
123,0.07500000000000001,0.0,76.2875
124,0.07500000000000001,0.025,76.005
125,0.07500000000000001,0.05,75.3975
126,0.07500000000000001,0.07500000000000001,74.1075
127,0.07500000000000001,0.1,73.0425
128,0.07500000000000001,0.125,69.8675
129,0.07500000000000001,0.15000000000000002,67.7325
130,0.07500000000000001,0.17500000000000002,65.2725
131,0.07500000000000001,0.2,61.1625
132,0.07500000000000001,0.225,60.035
133,0.07500000000000001,0.25,54.385
134,0.07500000000000001,0.275,51.255
135,0.07500000000000001,0.30000000000000004,48.5275
136,0.07500000000000001,0.325,45.845
137,0.07500000000000001,0.35000000000000003,42.105
138,0.07500000000000001,0.375,37.9225
139,0.07500000000000001,0.4,34.385
140,0.07500000000000001,0.42500000000000004,33.495
141,0.07500000000000001,0.45,29.71
142,0.07500000000000001,0.47500000000000003,25.44
143,0.07500000000000001,0.5,23.5525
144,0.07500000000000001,0.525,23.83
145,0.07500000000000001,0.55,21.1025
146,0.07500000000000001,0.5750000000000001,19.6375
147,0.07500000000000001,0.6000000000000001,18.545
148,0.07500000000000001,0.625,17.13
149,0.07500000000000001,0.65,17.5125
150,0.07500000000000001,0.675,15.54
151,0.07500000000000001,0.7000000000000001,13.94
152,0.07500000000000001,0.7250000000000001,13.4225
153,0.07500000000000001,0.75,14.3725
154,0.07500000000000001,0.775,12.7375
155,0.07500000000000001,0.8,12.61
156,0.07500000000000001,0.8250000000000001,12.425
157,0.07500000000000001,0.8500000000000001,11.96
158,0.07500000000000001,0.875,11.46
