,Theta,Phi,Accuracy
0,0.0,0.0,98.125
1,0.0,0.025,97.08
2,0.0,0.05,95.3075
3,0.0,0.07500000000000001,91.095
4,0.0,0.1,88.4425
5,0.0,0.125,81.4725
6,0.0,0.15000000000000002,77.555
7,0.0,0.17500000000000002,68.57
8,0.0,0.2,64.8025
9,0.0,0.225,54.83
10,0.0,0.25,54.8325
11,0.0,0.275,49.305
12,0.0,0.30000000000000004,44.2975
13,0.0,0.325,44.045
14,0.0,0.35000000000000003,40.7
15,0.0,0.375,34.56
16,0.0,0.4,33.575
17,0.0,0.42500000000000004,31.6675
18,0.0,0.45,28.9525
19,0.0,0.47500000000000003,28.565
20,0.0,0.5,25.615
21,0.0,0.525,25.935
22,0.0,0.55,23.4225
23,0.0,0.5750000000000001,21.6775
24,0.0,0.6000000000000001,22.7825
25,0.0,0.625,23.0
26,0.0,0.65,19.815
27,0.0,0.675,19.76
28,0.0,0.7000000000000001,17.6425
29,0.0,0.7250000000000001,18.7625
30,0.0,0.75,18.6
31,0.0,0.775,18.93
32,0.0,0.8,16.9775
33,0.0,0.8250000000000001,14.3
34,0.0,0.8500000000000001,16.4025
35,0.0,0.875,14.1025
36,0.0,0.9,14.44
37,0.0,0.925,13.89
38,0.0,0.9500000000000001,14.5175
39,0.0,0.9750000000000001,13.8225
40,0.0,1.0,13.225
41,0.025,0.0,97.5325
42,0.025,0.025,97.045
43,0.025,0.05,94.2425
44,0.025,0.07500000000000001,92.58
45,0.025,0.1,87.9775
46,0.025,0.125,81.045
47,0.025,0.15000000000000002,71.305
48,0.025,0.17500000000000002,69.47
49,0.025,0.2,62.88
50,0.025,0.225,58.5525
51,0.025,0.25,54.555
52,0.025,0.275,49.3275
53,0.025,0.30000000000000004,47.2375
54,0.025,0.325,40.5975
55,0.025,0.35000000000000003,41.195
56,0.025,0.375,34.0825
57,0.025,0.4,34.2075
58,0.025,0.42500000000000004,29.9175
59,0.025,0.45,29.6775
60,0.025,0.47500000000000003,25.8875
61,0.025,0.5,26.795
62,0.025,0.525,23.8875
63,0.025,0.55,20.8775
64,0.025,0.5750000000000001,23.03
65,0.025,0.6000000000000001,22.455
66,0.025,0.625,20.135
67,0.025,0.65,19.27
68,0.025,0.675,19.26
69,0.025,0.7000000000000001,18.76
70,0.025,0.7250000000000001,17.7875
71,0.025,0.75,16.755
72,0.025,0.775,15.1475
73,0.025,0.8,18.0125
74,0.025,0.8250000000000001,15.3425
75,0.025,0.8500000000000001,14.9375
76,0.025,0.875,16.5875
77,0.025,0.9,15.0875
78,0.025,0.925,14.1175
79,0.025,0.9500000000000001,15.8425
80,0.025,0.9750000000000001,14.16
81,0.025,1.0,12.8125
82,0.05,0.0,96.2675
83,0.05,0.025,95.745
84,0.05,0.05,94.0325
85,0.05,0.07500000000000001,89.92
86,0.05,0.1,85.9125
87,0.05,0.125,79.1475
88,0.05,0.15000000000000002,75.3025
89,0.05,0.17500000000000002,65.86
90,0.05,0.2,62.5575
91,0.05,0.225,57.71
92,0.05,0.25,51.2475
93,0.05,0.275,43.825
94,0.05,0.30000000000000004,43.3225
95,0.05,0.325,38.7275
96,0.05,0.35000000000000003,37.9075
97,0.05,0.375,38.375
98,0.05,0.4,34.6075
99,0.05,0.42500000000000004,33.505
100,0.05,0.45,31.65
101,0.05,0.47500000000000003,29.01
102,0.05,0.5,26.5775
103,0.05,0.525,22.7
104,0.05,0.55,23.8825
105,0.05,0.5750000000000001,20.6925
106,0.05,0.6000000000000001,21.6875
107,0.05,0.625,21.0175
108,0.05,0.65,20.5675
109,0.05,0.675,19.645
110,0.05,0.7000000000000001,17.8775
111,0.05,0.7250000000000001,17.7925
112,0.05,0.75,15.0575
113,0.05,0.775,19.14
114,0.05,0.8,16.505
115,0.05,0.8250000000000001,15.0375
116,0.05,0.8500000000000001,15.405
117,0.05,0.875,14.655
118,0.05,0.9,16.115
119,0.05,0.925,14.7675
120,0.05,0.9500000000000001,14.4025
121,0.05,0.9750000000000001,14.335
122,0.05,1.0,13.73
123,0.07500000000000001,0.0,94.9075
124,0.07500000000000001,0.025,93.31
125,0.07500000000000001,0.05,91.6775
126,0.07500000000000001,0.07500000000000001,88.7
127,0.07500000000000001,0.1,84.19
128,0.07500000000000001,0.125,78.315
129,0.07500000000000001,0.15000000000000002,71.285
130,0.07500000000000001,0.17500000000000002,63.7825
131,0.07500000000000001,0.2,62.195
132,0.07500000000000001,0.225,51.5075
133,0.07500000000000001,0.25,48.1225
134,0.07500000000000001,0.275,45.5
135,0.07500000000000001,0.30000000000000004,42.305
136,0.07500000000000001,0.325,39.01
137,0.07500000000000001,0.35000000000000003,36.37
138,0.07500000000000001,0.375,37.38
139,0.07500000000000001,0.4,35.6375
140,0.07500000000000001,0.42500000000000004,30.95
141,0.07500000000000001,0.45,31.985
142,0.07500000000000001,0.47500000000000003,27.415
143,0.07500000000000001,0.5,27.4725
144,0.07500000000000001,0.525,22.7475
145,0.07500000000000001,0.55,25.1925
146,0.07500000000000001,0.5750000000000001,24.785
147,0.07500000000000001,0.6000000000000001,23.765
148,0.07500000000000001,0.625,21.44
149,0.07500000000000001,0.65,20.1325
150,0.07500000000000001,0.675,19.18
151,0.07500000000000001,0.7000000000000001,16.7375
152,0.07500000000000001,0.7250000000000001,18.1875
153,0.07500000000000001,0.75,17.23
154,0.07500000000000001,0.775,16.9875
155,0.07500000000000001,0.8,16.7425
156,0.07500000000000001,0.8250000000000001,15.465
157,0.07500000000000001,0.8500000000000001,17.12
158,0.07500000000000001,0.875,14.7425
159,0.07500000000000001,0.9,15.9175
160,0.07500000000000001,0.925,16.5625
161,0.07500000000000001,0.9500000000000001,14.94
162,0.07500000000000001,0.9750000000000001,15.64
163,0.07500000000000001,1.0,14.91
164,0.1,0.0,92.99
165,0.1,0.025,91.35
166,0.1,0.05,89.815
167,0.1,0.07500000000000001,88.195
168,0.1,0.1,82.0425
169,0.1,0.125,76.8525
170,0.1,0.15000000000000002,70.51
171,0.1,0.17500000000000002,61.9175
172,0.1,0.2,58.6
173,0.1,0.225,51.7675
174,0.1,0.25,49.645
175,0.1,0.275,44.385
176,0.1,0.30000000000000004,44.295
177,0.1,0.325,37.6075
178,0.1,0.35000000000000003,36.945
179,0.1,0.375,32.61
180,0.1,0.4,31.8475
