,Theta,Phi,Accuracy
0,0.0,0.0,56.99999999999999
1,0.0,0.025,56.3675
2,0.0,0.05,54.9275
3,0.0,0.07500000000000001,53.0825
4,0.0,0.1,51.42
5,0.0,0.125,49.8125
6,0.0,0.15000000000000002,47.9
7,0.0,0.17500000000000002,44.7875
8,0.0,0.2,41.7825
9,0.0,0.225,39.95
10,0.0,0.25,38.5475
11,0.0,0.275,35.6625
12,0.0,0.30000000000000004,32.8325
13,0.0,0.325,30.9625
14,0.0,0.35000000000000003,30.475
15,0.0,0.375,27.98
16,0.0,0.4,27.2675
17,0.0,0.42500000000000004,25.835
18,0.0,0.45,23.1825
19,0.0,0.47500000000000003,22.97
20,0.0,0.5,20.435
21,0.0,0.525,19.535
22,0.0,0.55,19.0975
23,0.0,0.5750000000000001,18.36
24,0.0,0.6000000000000001,18.4925
25,0.0,0.625,16.44
26,0.0,0.65,16.515
27,0.0,0.675,15.59
28,0.0,0.7000000000000001,15.895
29,0.0,0.7250000000000001,14.6175
30,0.0,0.75,14.15
31,0.0,0.775,14.52
32,0.0,0.8,13.635
33,0.0,0.8250000000000001,14.4975
34,0.0,0.8500000000000001,12.185
35,0.0,0.875,12.965
36,0.0,0.9,11.8375
37,0.0,0.925,12.38
38,0.0,0.9500000000000001,12.835
39,0.0,0.9750000000000001,12.5125
40,0.0,1.0,12.6
41,0.025,0.0,56.5
42,0.025,0.025,55.755
43,0.025,0.05,54.51
44,0.025,0.07500000000000001,52.92
45,0.025,0.1,51.425
46,0.025,0.125,49.275
47,0.025,0.15000000000000002,47.3525
48,0.025,0.17500000000000002,44.56
49,0.025,0.2,43.07
50,0.025,0.225,39.745
51,0.025,0.25,36.8525
52,0.025,0.275,36.4775
53,0.025,0.30000000000000004,33.685
54,0.025,0.325,30.8275
55,0.025,0.35000000000000003,29.995
56,0.025,0.375,27.82
57,0.025,0.4,25.915
58,0.025,0.42500000000000004,24.975
59,0.025,0.45,22.455
60,0.025,0.47500000000000003,22.46
61,0.025,0.5,21.9525
62,0.025,0.525,19.98
63,0.025,0.55,19.1725
64,0.025,0.5750000000000001,18.29
65,0.025,0.6000000000000001,17.5675
66,0.025,0.625,16.8575
67,0.025,0.65,17.1
68,0.025,0.675,15.8425
69,0.025,0.7000000000000001,14.855
70,0.025,0.7250000000000001,15.1575
71,0.025,0.75,14.5
72,0.025,0.775,13.92
73,0.025,0.8,13.9975
74,0.025,0.8250000000000001,12.99
75,0.025,0.8500000000000001,12.7275
76,0.025,0.875,12.675
77,0.025,0.9,12.495
78,0.025,0.925,12.3575
79,0.025,0.9500000000000001,12.185
80,0.025,0.9750000000000001,12.2025
81,0.025,1.0,12.9525
82,0.05,0.0,55.5675
83,0.05,0.025,54.9025
84,0.05,0.05,54.42
85,0.05,0.07500000000000001,52.6275
86,0.05,0.1,50.6275
87,0.05,0.125,48.9375
88,0.05,0.15000000000000002,47.0075
89,0.05,0.17500000000000002,43.7
90,0.05,0.2,42.945
91,0.05,0.225,39.8725
92,0.05,0.25,37.72
93,0.05,0.275,35.5275
94,0.05,0.30000000000000004,32.61
95,0.05,0.325,31.06
96,0.05,0.35000000000000003,29.0125
97,0.05,0.375,27.02
98,0.05,0.4,25.0675
99,0.05,0.42500000000000004,24.735
100,0.05,0.45,23.185
101,0.05,0.47500000000000003,22.17
102,0.05,0.5,21.97
103,0.05,0.525,19.9675
104,0.05,0.55,17.875
105,0.05,0.5750000000000001,18.53
106,0.05,0.6000000000000001,16.845
107,0.05,0.625,17.18
108,0.05,0.65,17.2675
109,0.05,0.675,14.9075
110,0.05,0.7000000000000001,15.43
111,0.05,0.7250000000000001,14.665
112,0.05,0.75,14.9625
113,0.05,0.775,13.805
114,0.05,0.8,13.28
115,0.05,0.8250000000000001,13.6775
116,0.05,0.8500000000000001,13.3875
117,0.05,0.875,13.2925
118,0.05,0.9,13.0575
119,0.05,0.925,12.875
120,0.05,0.9500000000000001,11.9925
121,0.05,0.9750000000000001,13.19
122,0.05,1.0,11.74
123,0.07500000000000001,0.0,53.9975
124,0.07500000000000001,0.025,53.6175
125,0.07500000000000001,0.05,52.2975
126,0.07500000000000001,0.07500000000000001,51.1825
127,0.07500000000000001,0.1,49.4875
128,0.07500000000000001,0.125,48.115
129,0.07500000000000001,0.15000000000000002,46.5225
130,0.07500000000000001,0.17500000000000002,43.65
131,0.07500000000000001,0.2,41.835
132,0.07500000000000001,0.225,40.5875
133,0.07500000000000001,0.25,36.77
134,0.07500000000000001,0.275,35.305
135,0.07500000000000001,0.30000000000000004,33.12
136,0.07500000000000001,0.325,31.9075
137,0.07500000000000001,0.35000000000000003,28.8725
138,0.07500000000000001,0.375,28.82
139,0.07500000000000001,0.4,27.0025
140,0.07500000000000001,0.42500000000000004,25.285
141,0.07500000000000001,0.45,23.9
142,0.07500000000000001,0.47500000000000003,21.795
143,0.07500000000000001,0.5,20.195
144,0.07500000000000001,0.525,19.79
145,0.07500000000000001,0.55,18.655
146,0.07500000000000001,0.5750000000000001,18.6775
147,0.07500000000000001,0.6000000000000001,17.355
148,0.07500000000000001,0.625,16.075
149,0.07500000000000001,0.65,16.615
150,0.07500000000000001,0.675,15.765
151,0.07500000000000001,0.7000000000000001,15.2
152,0.07500000000000001,0.7250000000000001,15.1375
153,0.07500000000000001,0.75,14.565
154,0.07500000000000001,0.775,14.0225
155,0.07500000000000001,0.8,14.4875
156,0.07500000000000001,0.8250000000000001,13.0375
157,0.07500000000000001,0.8500000000000001,13.705
158,0.07500000000000001,0.875,12.38
159,0.07500000000000001,0.9,13.0475
160,0.07500000000000001,0.925,11.6375
161,0.07500000000000001,0.9500000000000001,13.3775
162,0.07500000000000001,0.9750000000000001,12.0275
163,0.07500000000000001,1.0,12.27
164,0.1,0.0,51.8175
165,0.1,0.025,51.835
166,0.1,0.05,50.965
167,0.1,0.07500000000000001,50.4125
168,0.1,0.1,48.275
169,0.1,0.125,46.765
170,0.1,0.15000000000000002,44.1625
171,0.1,0.17500000000000002,43.3
172,0.1,0.2,41.5875
173,0.1,0.225,39.43
174,0.1,0.25,37.1275
175,0.1,0.275,34.9125
176,0.1,0.30000000000000004,32.265
177,0.1,0.325,29.8575
178,0.1,0.35000000000000003,29.45
179,0.1,0.375,26.505
180,0.1,0.4,25.9875
181,0.1,0.42500000000000004,23.4875
182,0.1,0.45,22.5825
183,0.1,0.47500000000000003,21.4375
184,0.1,0.5,19.5075
185,0.1,0.525,18.9425
186,0.1,0.55,18.43
187,0.1,0.5750000000000001,17.7675
188,0.1,0.6000000000000001,17.3325
189,0.1,0.625,15.3775
190,0.1,0.65,16.1075
