0.7864-0.3657j, -0.3287+0.0140j, -0.0801+0.1321j, 0.0038+0.1482j, -0.2841+0.0824j, 0.0141-0.0257j, -0.0678+0.0203j, -0.0161-0.0036j, -0.0076-0.0020j, 0.0007+0.0002j, 
-0.0550+0.1410j, -0.7264+0.3699j, 0.0353-0.1702j, -0.1062-0.1866j, 0.3058-0.0944j, 0.2542-0.1407j, 0.1313+0.0858j, 0.0312+0.0934j, 0.0508-0.0357j, 0.0761-0.0747j, 
-0.0017-0.1441j, 0.0983-0.1895j, -0.6521+0.0623j, -0.3682-0.1790j, 0.1315+0.1986j, 0.0884+0.0227j, 0.3830+0.1305j, 0.3032+0.1238j, -0.0092-0.0257j, -0.0086+0.0025j, 
-0.0046+0.0547j, -0.1878-0.0422j, 0.3225-0.1255j, 0.0481-0.0552j, -0.1790+0.0324j, -0.5425+0.0440j, 0.3874+0.0695j, 0.5067-0.0510j, -0.1555+0.0061j, -0.2471+0.0769j, 
-0.1013+0.0529j, -0.2229+0.1344j, -0.3406+0.2138j, -0.0718+0.0462j, 0.1661-0.1119j, -0.5428+0.3370j, -0.4000+0.2397j, -0.1684+0.1158j, -0.0603+0.0632j, -0.1591+0.0985j, 
0.0401+0.3262j, 0.0239+0.1884j, 0.0009+0.0450j, 0.0538+0.3489j, 0.0729+0.6447j, -0.0183-0.2074j, -0.0037-0.0071j, 0.0298+0.2573j, 0.0403+0.3629j, 0.0293+0.2523j, 
0.0201-0.0784j, 0.0565-0.1029j, 0.1502-0.2606j, -0.3986+0.4040j, 0.1547-0.0339j, -0.0754-0.1065j, 0.0871+0.5437j, -0.1705-0.3949j, 0.0536+0.1241j, 0.1162-0.0706j, 
-0.0026+0.0139j, 0.0044-0.0020j, -0.2038-0.1103j, 0.3741+0.2270j, 0.1583-0.0627j, 0.3544-0.0806j, -0.1845+0.2046j, 0.2689-0.2561j, -0.2270-0.1020j, -0.5399+0.1623j, 
-0.1418+0.2304j, -0.0921+0.1363j, -0.2127+0.1717j, 0.2464-0.0145j, -0.3305+0.2959j, -0.0739-0.0336j, -0.0571+0.2251j, 0.1179-0.3932j, 0.2304-0.3564j, 0.2746-0.2877j, 
0.0060-0.0012j, 0.0072-0.0015j, 0.1158-0.0300j, -0.2236+0.0497j, 0.0093+0.0916j, -0.0312-0.0429j, 0.0173-0.0302j, -0.1337+0.0730j, 0.3927-0.6446j, -0.1937+0.5386j, 

