-0.2105-0.0493j, 0.1155+0.8349j, 0.0155-0.2250j, 0.1064-0.3706j, 0.0291-0.1014j, -0.0489+0.0958j, -0.0078-0.1200j, 0.0100+0.0171j, 0.0015-0.0738j, 0.0003-0.0143j, 
0.3593+0.0226j, 0.0763+0.1322j, -0.4204-0.3151j, 0.3742+0.4679j, -0.0225-0.1453j, 0.2133-0.0086j, -0.1771-0.1326j, -0.2178+0.1228j, -0.1513-0.0849j, -0.0319-0.0473j, 
-0.5546-0.4753j, 0.2927+0.0268j, 0.1646+0.0576j, 0.1180+0.5271j, 0.1332+0.1120j, -0.0903-0.1021j, -0.0018-0.0591j, -0.0442-0.0360j, -0.0039-0.0468j, 0.0059-0.0127j, 
0.1558-0.3268j, 0.1213-0.2346j, 0.2928-0.4933j, 0.0409-0.1674j, -0.1295+0.1433j, -0.2109+0.3327j, -0.0137+0.0042j, -0.1322+0.4160j, -0.0318+0.1374j, -0.0875+0.1723j, 
-0.0550-0.0631j, -0.1450-0.1300j, -0.2714-0.2407j, -0.2031-0.1847j, 0.1894+0.1710j, -0.4841-0.4368j, -0.2811-0.2442j, -0.1011-0.0831j, -0.2184-0.1875j, -0.1050-0.0907j, 
0.2686-0.2512j, 0.1803-0.1753j, 0.0469-0.0597j, 0.1271-0.1150j, 0.5016-0.4705j, -0.1646+0.1474j, 0.0678-0.0443j, 0.2449-0.2324j, 0.1287-0.1129j, 0.2224-0.2128j, 
0.0194-0.0504j, 0.0438-0.0687j, -0.2744+0.2068j, 0.1410-0.1464j, 0.0575+0.4201j, -0.0588+0.4176j, 0.2604-0.2674j, -0.4519-0.2523j, 0.1548-0.1569j, 0.1292-0.0300j, 
0.0493-0.0265j, -0.0031-0.0178j, 0.0989+0.0463j, 0.0696-0.0131j, 0.0290+0.0754j, 0.1162+0.1386j, 0.1133-0.3845j, 0.2813-0.2872j, -0.7066+0.2517j, -0.0286+0.2337j, 
0.0407+0.0321j, 0.0219+0.0374j, 0.0237-0.0559j, 0.0483+0.0302j, 0.0601+0.2995j, 0.0362+0.1427j, -0.0057+0.0529j, 0.1911-0.0331j, -0.0077+0.2653j, -0.4260-0.7623j, 
-0.0865-0.0242j, 0.0087+0.0024j, -0.1663-0.1224j, -0.1137-0.0603j, 0.2363-0.1615j, 0.0456-0.2465j, 0.6555+0.2350j, -0.3472+0.1567j, -0.2455+0.2971j, 0.0283-0.0922j, 

