0.0478+0.1350j, 0.3234+0.2835j, -0.5279+0.2206j, 0.3542-0.1338j, -0.4278+0.0552j, -0.1669+0.0071j, 0.1206-0.3030j, 0.0353-0.0427j, 0.0016+0.0151j, 0.0013+0.0124j, 
-0.2941-0.6438j, 0.3305-0.1009j, -0.0250-0.2356j, 0.2133+0.3453j, -0.0705+0.1733j, -0.0649+0.1755j, -0.1995-0.0037j, -0.0037-0.0649j, 0.0180-0.1055j, 0.0604+0.1722j, 
-0.1469-0.3891j, -0.4299-0.1622j, -0.1533+0.5012j, -0.1123+0.2674j, -0.0523+0.0198j, 0.1021-0.0949j, 0.3371-0.2724j, 0.0187+0.0105j, -0.0694+0.1071j, 0.0415-0.1680j, 
0.0722-0.1206j, -0.4459-0.0709j, 0.0898-0.1139j, 0.2265-0.3328j, -0.0896+0.2136j, -0.2063+0.3085j, 0.2881+0.0155j, 0.1349-0.0236j, 0.1492-0.1665j, -0.2973+0.4018j, 
0.0232+0.2082j, 0.0885+0.1192j, 0.1900+0.4696j, 0.0691+0.3793j, -0.0980-0.1579j, -0.0011+0.2364j, 0.1469+0.4126j, 0.0198-0.0357j, -0.0714-0.2309j, 0.2082+0.3784j, 
0.0347-0.0516j, 0.1025-0.0753j, 0.0127+0.0708j, 0.1063-0.0689j, 0.3576-0.4132j, -0.1861+0.2592j, 0.0894-0.1844j, 0.2429-0.3004j, 0.3961-0.2863j, 0.1569-0.3218j, 
0.0932+0.4132j, -0.1513-0.1108j, -0.1122-0.2034j, -0.1364+0.4778j, -0.0749+0.4725j, -0.0289+0.3517j, -0.0394-0.1816j, 0.0042-0.1570j, 0.0588-0.1262j, 0.0190-0.2284j, 
-0.1631+0.1747j, 0.4207-0.1571j, 0.0619-0.0309j, -0.1232+0.1347j, 0.2683-0.0736j, 0.1963+0.0479j, 0.3996-0.3116j, 0.0938+0.0851j, -0.1074+0.0466j, -0.4926+0.2360j, 
0.0094+0.0372j, 0.0163-0.0725j, 0.0077-0.0099j, 0.0014+0.0267j, 0.1938+0.1039j, -0.3958-0.3597j, 0.1301-0.1685j, -0.4615+0.2266j, -0.0919-0.5707j, 0.1069+0.0509j, 
-0.0003-0.0010j, -0.0001-0.0004j, -0.0068-0.0013j, 0.0085+0.0003j, -0.1844-0.0183j, 0.4095+0.0562j, -0.0837-0.0734j, 0.1848+0.6953j, 0.3973-0.3158j, 0.0543-0.0647j, 

