0.3254-0.1229j, 0.0039-0.3677j, 0.0920-0.0525j, -0.3411+0.5448j, -0.0646+0.1778j, 0.1874-0.0039j, 0.0961+0.1848j, -0.2308-0.3888j, 0.0004+0.0134j, 0.0007+0.0216j, 
0.6976+0.0741j, -0.3762+0.2480j, -0.2015-0.3622j, -0.1625-0.1597j, -0.0154+0.0501j, 0.0401-0.1031j, -0.0029-0.0697j, 0.0262+0.2415j, 0.0046+0.0256j, 0.0084+0.0394j, 
-0.0948+0.3555j, 0.3963+0.1070j, -0.4706-0.4996j, 0.1865+0.2228j, 0.1343+0.1268j, -0.1998-0.1279j, 0.0009+0.0716j, -0.0007-0.2106j, 0.0019-0.0139j, 0.0022-0.0214j, 
0.0081+0.1181j, -0.4118-0.2847j, -0.0820+0.1057j, 0.1535+0.3312j, -0.0019-0.0258j, -0.2225-0.0831j, -0.2463-0.0205j, 0.6746-0.0626j, 0.0321-0.0316j, 0.0482-0.0517j, 
0.0952-0.1333j, 0.1337-0.1956j, -0.0017+0.0010j, 0.2266-0.3481j, -0.0857+0.1317j, 0.3843-0.6022j, 0.0596-0.0917j, 0.1527-0.2507j, 0.0982-0.1515j, 0.1479-0.2383j, 
0.2290-0.1070j, 0.1824-0.0807j, 0.3777-0.1907j, 0.0254-0.0164j, 0.5446-0.3002j, -0.2426+0.1230j, 0.2978-0.1619j, 0.1564-0.0778j, 0.2332-0.1325j, 0.1721-0.0932j, 
0.3069-0.2110j, 0.3348-0.1593j, 0.3339-0.1680j, 0.3620-0.0276j, -0.2253+0.0958j, -0.2410+0.0207j, -0.4027+0.2155j, -0.0012+0.1928j, -0.0825+0.0380j, -0.2822+0.0131j, 
-0.0447-0.0731j, -0.0380-0.0839j, -0.0122-0.0821j, -0.0230-0.1018j, 0.2455+0.3260j, 0.0727+0.2467j, -0.5200-0.3446j, -0.1470-0.1101j, 0.1697+0.3979j, 0.2933-0.1940j, 
-0.0015+0.0260j, -0.0028+0.0254j, -0.0093+0.0324j, -0.0041+0.0214j, 0.0312+0.5341j, 0.0471+0.3442j, 0.0702-0.1587j, 0.0593+0.1196j, -0.0086-0.6559j, -0.1737-0.2860j, 
0.0100-0.0033j, 0.0011-0.0004j, 0.0249-0.0249j, -0.0240+0.0068j, -0.0289-0.0417j, -0.0879+0.0494j, 0.0303+0.3603j, -0.0313+0.1639j, -0.5161-0.0196j, 0.5861-0.4653j, 

